 "'AS-IS'" 1 
 "A--a" 1 (L 895, off 1) 
 "wanted" 25 (L 236, off 65) (L 593, off 22) (L 806, off 26) (L 818, off 45) (L 1020, off 26) (L 1057, off 25) (L 1210, off 10) (L 1255, off 20) (L 1413, off 5) (L 1622, off 30) (L 1696, off 18) (L 1832, off 34) (L 2066, off 59) (L 2069, off 11) (L 2369, off 8) (L 2440, off 4) (L 2443, off 0) (L 2605, off 59) (L 2639, off 16) (L 3003, off 41) (L 3197, off 9) (L 3371, off 45) (L 3494, off 13) (L 3642, off 27) (L 3964, off 22) 
 "how" 26 (L 160, off 40) (L 644, off 39) (L 1031, off 32) (L 1095, off 5) (L 1110, off 68) (L 1229, off 16) (L 1376, off 62) (L 1730, off 43) (L 1742, off 49) (L 2270, off 37) (L 2283, off 31) (L 2555, off 47) (L 2584, off 5) (L 2790, off 34) (L 2963, off 31) (L 3463, off 34) (L 3474, off 32) (L 3775, off 68) (L 3913, off 49) (L 4032, off 26) (L 4324, off 61) (L 4368, off 5) (L 4867, off 4) (L 4952, off 10) (L 4953, off 20) (L 4953, off 60) 
 "much" 26 (L 271, off 26) (L 408, off 56) (L 639, off 65) (L 997, off 13) (L 1191, off 0) (L 1311, off 0) (L 1334, off 50) (L 1396, off 20) (L 1416, off 9) (L 1509, off 53) (L 1644, off 38) (L 1717, off 9) (L 1717, off 64) (L 1934, off 25) (L 2394, off 34) (L 2636, off 6) (L 2791, off 14) (L 3453, off 35) (L 3474, off 36) (L 3667, off 24) (L 3834, off 3) (L 3853, off 50) (L 3913, off 53) (L 4138, off 44) (L 4548, off 17) (L 4911, off 21) 
 "near" 26 (L 385, off 61) (L 438, off 56) (L 440, off 38) (L 536, off 7) (L 896, off 23) (L 1218, off 23) (L 1415, off 42) (L 1904, off 17) (L 1948, off 35) (L 2083, off 8) (L 2144, off 21) (L 2284, off 15) (L 2331, off 47) (L 2352, off 6) (L 2615, off 14) (L 2725, off 54) (L 3105, off 42) (L 3205, off 45) (L 3255, off 27) (L 3403, off 0) (L 3553, off 10) (L 3680, off 56) (L 3718, off 31) (L 3751, off 21) (L 4135, off 62) (L 4486, off 62) 
 "Gutenberg" 27 (L 1, off 13) (L 6, off 41) (L 4591, off 19) (L 4614, off 0) (L 4634, off 0) (L 4653, off 15) (L 4663, off 18) (L 4670, off 61) (L 4689, off 56) (L 4694, off 16) (L 4695, off 0) (L 4700, off 41) (L 4708, off 25) (L 4756, off 13) (L 4760, off 25) (L 4762, off 17) (L 4783, off 17) (L 4789, off 16) (L 4802, off 0) (L 4864, off 0) (L 4866, off 32) (L 4871, off 42) (L 4874, off 12) (L 4879, off 60) (L 4897, off 55) (L 4926, off 25) (L 4952, off 47) 
 "door" 27 (L 294, off 46) (L 1551, off 0) (L 1552, off 53) (L 2551, off 43) (L 2662, off 0) (L 2736, off 62) (L 2750, off 12) (L 2755, off 37) (L 2756, off 41) (L 2759, off 28) (L 2765, off 51) (L 2768, off 4) (L 2846, off 31) (L 2847, off 29) (L 2855, off 21) (L 2888, off 22) (L 2905, off 33) (L 2924, off 11) (L 2943, off 49) (L 2949, off 12) (L 2970, off 29) (L 3033, off 9) (L 3075, off 48) (L 3080, off 13) (L 3161, off 5) (L 3241, off 0) (L 3850, off 0) 
 "electronic" 27 (L 4612, off 46) (L 4632, off 16) (L 4640, off 0) (L 4643, off 0) (L 4647, off 35) (L 4649, off 13) (L 4654, off 41) (L 4656, off 54) (L 4659, off 13) (L 4660, off 61) (L 4665, off 13) (L 4672, off 49) (L 4703, off 46) (L 4714, off 46) (L 4726, off 0) (L 4726, off 37) (L 4748, off 47) (L 4774, off 5) (L 4781, off 0) (L 4792, off 57) (L 4804, off 13) (L 4815, off 15) (L 4842, off 41) (L 4844, off 51) (L 4855, off 0) (L 4932, off 59) (L 4936, off 24) 
 "horns" 27 (L 599, off 12) (L 599, off 47) (L 600, off 32) (L 604, off 10) (L 674, off 45) (L 927, off 50) (L 1100, off 35) (L 2211, off 48) (L 2310, off 14) (L 2314, off 48) (L 2324, off 38) (L 2877, off 51) (L 2881, off 55) (L 2883, off 27) (L 3018, off 0) (L 3040, off 56) (L 3089, off 54) (L 3107, off 51) (L 3117, off 66) (L 3218, off 41) (L 3290, off 9) (L 3394, off 42) (L 3482, off 4) (L 3619, off 19) (L 3877, off 55) (L 4398, off 25) (L 4464, off 43) 
 "called" 28 (L 263, off 59) (L 347, off 19) (L 691, off 41) (L 1277, off 19) (L 1277, off 49) (L 1300, off 23) (L 1604, off 9) (L 1671, off 45) (L 1753, off 12) (L 1990, off 17) (L 2203, off 24) (L 2395, off 43) (L 2615, off 27) (L 2745, off 19) (L 2903, off 24) (L 2916, off 9) (L 2927, off 57) (L 2931, off 23) (L 3043, off 50) (L 3358, off 40) (L 3363, off 43) (L 3427, off 21) (L 3636, off 45) (L 3719, off 23) (L 3721, off 15) (L 3983, off 19) (L 4327, off 9) (L 4528, off 9) 
 "heel" 28 (L 2043, off 62) (L 2047, off 21) (L 2051, off 65) (L 2058, off 14) (L 2060, off 28) (L 2079, off 42) (L 2082, off 43) (L 2091, off 37) (L 2097, off 9) (L 2104, off 60) (L 2369, off 36) (L 2380, off 37) (L 2383, off 33) (L 2439, off 50) (L 2465, off 5) (L 2470, off 50) (L 2476, off 21) (L 2486, off 58) (L 2488, off 23) (L 2493, off 31) (L 2511, off 67) (L 2526, off 21) (L 2528, off 27) (L 2605, off 10) (L 2638, off 43) (L 3527, off 0) (L 4035, off 20) (L 4049, off 5) 
 "help" 28 (L 305, off 37) (L 405, off 61) (L 413, off 4) (L 937, off 26) (L 1065, off 0) (L 1360, off 14) (L 1459, off 20) (L 1757, off 25) (L 1867, off 0) (L 2057, off 16) (L 2156, off 16) (L 2469, off 6) (L 2575, off 10) (L 2636, off 16) (L 3149, off 47) (L 3331, off 24) (L 3506, off 6) (L 3514, off 27) (L 3571, off 13) (L 3959, off 57) (L 4006, off 0) (L 4174, off 65) (L 4339, off 19) (L 4345, off 0) (L 4456, off 43) (L 4660, off 4) (L 4867, off 39) (L 4953, off 27) 
 "something" 28 (L 219, off 0) (L 250, off 35) (L 286, off 32) (L 429, off 41) (L 591, off 29) (L 619, off 42) (L 749, off 43) (L 905, off 8) (L 1007, off 0) (L 1106, off 19) (L 1108, off 36) (L 1246, off 21) (L 1451, off 30) (L 1518, off 26) (L 1857, off 12) (L 2639, off 0) (L 3102, off 23) (L 3162, off 0) (L 3349, off 9) (L 3381, off 27) (L 3526, off 7) (L 3527, off 16) (L 3561, off 51) (L 3608, off 24) (L 3877, off 0) (L 3996, off 28) (L 4261, off 32) (L 4422, off 47) 
 "wouldn" 28 (L 213, off 46) (L 230, off 62) (L 408, off 44) (L 415, off 10) (L 460, off 42) (L 502, off 15) (L 754, off 7) (L 785, off 34) (L 931, off 29) (L 1156, off 53) (L 1208, off 46) (L 1249, off 0) (L 1254, off 50) (L 1494, off 30) (L 1770, off 61) (L 1857, off 28) (L 1859, off 61) (L 1882, off 3) (L 1886, off 14) (L 2069, off 33) (L 2208, off 10) (L 2316, off 59) (L 2458, off 0) (L 2547, off 47) (L 3179, off 40) (L 3552, off 31) (L 4065, off 0) (L 4302, off 61) 
 "This" 29 (L 4, off 0) (L 1044, off 24) (L 1110, off 1) (L 1309, off 64) (L 1409, off 0) (L 1503, off 1) (L 1627, off 1) (L 1811, off 21) (L 1865, off 51) (L 2029, off 7) (L 2114, off 37) (L 2131, off 65) (L 2646, off 42) (L 2767, off 42) (L 3642, off 44) (L 3693, off 43) (L 3717, off 0) (L 3925, off 25) (L 3945, off 0) (L 4019, off 1) (L 4140, off 1) (L 4187, off 59) (L 4349, off 19) (L 4479, off 15) (L 4490, off 61) (L 4596, off 6) (L 4597, off 0) (L 4698, off 0) (L 4951, off 0) 
 "another" 29 (L 209, off 42) (L 222, off 61) (L 431, off 0) (L 449, off 17) (L 625, off 22) (L 700, off 27) (L 877, off 16) (L 1077, off 0) (L 1280, off 9) (L 1527, off 14) (L 1824, off 0) (L 2026, off 9) (L 2104, off 12) (L 2110, off 33) (L 2163, off 62) (L 2369, off 15) (L 2440, off 11) (L 2892, off 61) (L 2960, off 0) (L 3245, off 9) (L 3302, off 15) (L 3658, off 64) (L 3727, off 3) (L 3946, off 35) (L 4338, off 21) (L 4360, off 61) (L 4428, off 15) (L 4467, off 54) (L 4553, off 22) 
 "big" 29 (L 536, off 17) (L 632, off 5) (L 1097, off 53) (L 1186, off 26) (L 1285, off 40) (L 1598, off 38) (L 1757, off 58) (L 1885, off 48) (L 2160, off 3) (L 2160, off 64) (L 2203, off 39) (L 2223, off 55) (L 2236, off 26) (L 2875, off 60) (L 2966, off 62) (L 3092, off 20) (L 3254, off 52) (L 3279, off 55) (L 3358, off 66) (L 3445, off 12) (L 3619, off 15) (L 3950, off 20) (L 4298, off 63) (L 4315, off 56) (L 4325, off 59) (L 4337, off 60) (L 4429, off 16) (L 4477, off 44) (L 4487, off 55) 
 "old" 29 (L 777, off 53) (L 801, off 51) (L 937, off 65) (L 1448, off 7) (L 1475, off 58) (L 1495, off 4) (L 1510, off 24) (L 1585, off 59) (L 1669, off 9) (L 1723, off 26) (L 2310, off 62) (L 2354, off 34) (L 2455, off 29) (L 2498, off 62) (L 2577, off 60) (L 2610, off 40) (L 2631, off 19) (L 2654, off 37) (L 2683, off 45) (L 2706, off 63) (L 2783, off 67) (L 2965, off 13) (L 2998, off 30) (L 3046, off 38) (L 3102, off 56) (L 3185, off 25) (L 3396, off 50) (L 4604, off 52) (L 4856, off 20) 
 "plates" 29 (L 2044, off 0) (L 2047, off 26) (L 2050, off 21) (L 2052, off 0) (L 2058, off 19) (L 2060, off 33) (L 2079, off 47) (L 2082, off 48) (L 2091, off 42) (L 2097, off 14) (L 2105, off 0) (L 2354, off 6) (L 2369, off 41) (L 2380, off 42) (L 2439, off 55) (L 2465, off 10) (L 2470, off 55) (L 2476, off 26) (L 2486, off 63) (L 2488, off 28) (L 2493, off 36) (L 2512, off 0) (L 2526, off 26) (L 2528, off 32) (L 2605, off 15) (L 2638, off 48) (L 3527, off 5) (L 4035, off 25) (L 4049, off 10) 
 "soon" 29 (L 247, off 21) (L 328, off 5) (L 357, off 0) (L 680, off 36) (L 747, off 12) (L 962, off 45) (L 1409, off 23) (L 1486, off 52) (L 1542, off 19) (L 1689, off 33) (L 1892, off 35) (L 2084, off 22) (L 2120, off 52) (L 2151, off 45) (L 2180, off 41) (L 2594, off 0) (L 2756, off 3) (L 2889, off 26) (L 2949, off 30) (L 3009, off 28) (L 3016, off 5) (L 3054, off 64) (L 3084, off 8) (L 3539, off 11) (L 3903, off 53) (L 4159, off 36) (L 4378, off 14) (L 4478, off 59) (L 4535, off 5) 
 "again" 30 (L 897, off 0) (L 1150, off 12) (L 1260, off 52) (L 1410, off 24) (L 1435, off 0) (L 1783, off 59) (L 1860, off 22) (L 2006, off 45) (L 2472, off 41) (L 2510, off 31) (L 2674, off 59) (L 2736, off 45) (L 2892, off 7) (L 2931, off 30) (L 2956, off 58) (L 3185, off 64) (L 3259, off 30) (L 3299, off 40) (L 3311, off 0) (L 3313, off 19) (L 3313, off 35) (L 3321, off 59) (L 3501, off 22) (L 4087, off 29) (L 4100, off 14) (L 4107, off 51) (L 4237, off 18) (L 4369, off 14) (L 4475, off 19) (L 4508, off 60) 
 "course" 30 (L 195, off 24) (L 264, off 12) (L 451, off 48) (L 585, off 48) (L 767, off 4) (L 772, off 4) (L 821, off 9) (L 841, off 8) (L 844, off 10) (L 1013, off 42) (L 1063, off 20) (L 1148, off 12) (L 1257, off 12) (L 1322, off 9) (L 1427, off 4) (L 2193, off 4) (L 2306, off 4) (L 2558, off 4) (L 2571, off 4) (L 2577, off 4) (L 2668, off 4) (L 2695, off 4) (L 2789, off 50) (L 3171, off 41) (L 3192, off 4) (L 3913, off 4) (L 4164, off 4) (L 4167, off 61) (L 4357, off 61) (L 4671, off 17) 
 "cowboy" 30 (L 1339, off 38) (L 1358, off 30) (L 2430, off 58) (L 2531, off 60) (L 3412, off 27) (L 3521, off 48) (L 3526, off 50) (L 3546, off 22) (L 3553, off 32) (L 3559, off 18) (L 4019, off 31) (L 4021, off 13) (L 4025, off 17) (L 4029, off 16) (L 4048, off 20) (L 4054, off 10) (L 4426, off 16) (L 4429, off 61) (L 4443, off 0) (L 4445, off 47) (L 4447, off 10) (L 4449, off 15) (L 4477, off 10) (L 4485, off 33) (L 4501, off 49) (L 4511, off 0) (L 4526, off 21) (L 4532, off 41) (L 4536, off 17) (L 4541, off 28) 
 "fellows" 30 (L 278, off 21) (L 318, off 32) (L 386, off 38) (L 412, off 53) (L 467, off 62) (L 1044, off 51) (L 1082, off 7) (L 1110, off 25) (L 1119, off 54) (L 1211, off 0) (L 1689, off 45) (L 2015, off 19) (L 2038, off 0) (L 2482, off 20) (L 2747, off 0) (L 2903, off 11) (L 2981, off 25) (L 3260, off 4) (L 3322, off 0) (L 3476, off 0) (L 3492, off 0) (L 3512, off 0) (L 3576, off 0) (L 3736, off 25) (L 3755, off 0) (L 3762, off 49) (L 4159, off 7) (L 4164, off 18) (L 4190, off 8) (L 4357, off 26) 
 "laughed" 30 (L 226, off 57) (L 281, off 31) (L 792, off 27) (L 882, off 16) (L 992, off 36) (L 1102, off 18) (L 1222, off 7) (L 1248, off 6) (L 1290, off 24) (L 1374, off 23) (L 1427, off 13) (L 1468, off 27) (L 1918, off 39) (L 2163, off 18) (L 2210, off 20) (L 2229, off 32) (L 2303, off 31) (L 2312, off 28) (L 2684, off 0) (L 2948, off 8) (L 2986, off 26) (L 3266, off 30) (L 3273, off 0) (L 3386, off 20) (L 3568, off 12) (L 3812, off 57) (L 3998, off 10) (L 4174, off 12) (L 4180, off 21) (L 4207, off 37) 
 "may" 30 (L 5, off 40) (L 318, off 62) (L 411, off 31) (L 429, off 0) (L 660, off 31) (L 739, off 39) (L 1243, off 0) (L 1933, off 37) (L 2476, off 33) (L 2688, off 27) (L 2787, off 44) (L 2789, off 61) (L 3561, off 42) (L 3575, off 16) (L 4174, off 29) (L 4550, off 53) (L 4614, off 41) (L 4617, off 25) (L 4619, off 16) (L 4619, off 64) (L 4650, off 29) (L 4653, off 57) (L 4699, off 40) (L 4731, off 12) (L 4747, off 12) (L 4793, off 36) (L 4793, off 51) (L 4820, off 19) (L 4822, off 20) (L 4824, off 23) 
 "than" 30 (L 369, off 25) (L 397, off 0) (L 486, off 0) (L 588, off 22) (L 742, off 15) (L 796, off 56) (L 901, off 33) (L 1243, off 12) (L 1708, off 30) (L 1871, off 48) (L 2049, off 62) (L 2289, off 46) (L 2409, off 15) (L 2511, off 31) (L 2636, off 29) (L 2960, off 24) (L 2963, off 49) (L 3163, off 34) (L 3206, off 42) (L 3259, off 64) (L 3558, off 41) (L 3591, off 16) (L 4022, off 0) (L 4095, off 18) (L 4253, off 65) (L 4318, off 31) (L 4326, off 5) (L 4348, off 42) (L 4734, off 67) (L 4781, off 53) 
 "THE" 31 (L 20, off 52) (L 46, off 4) (L 64, off 0) (L 70, off 14) (L 71, off 14) (L 72, off 14) (L 73, off 14) (L 74, off 14) (L 75, off 14) (L 88, off 14) (L 90, off 15) (L 104, off 12) (L 107, off 12) (L 109, off 12) (L 111, off 12) (L 112, off 20) (L 116, off 15) (L 138, off 10) (L 918, off 0) (L 1578, off 0) (L 1959, off 0) (L 2391, off 0) (L 2601, off 8) (L 3439, off 3) (L 4558, off 0) (L 4594, off 50) (L 4628, off 0) (L 4808, off 45) (L 4808, off 61) (L 4811, off 46) 
 "declared" 31 (L 199, off 0) (L 266, off 22) (L 423, off 21) (L 472, off 30) (L 485, off 18) (L 513, off 41) (L 574, off 19) (L 668, off 42) (L 703, off 38) (L 988, off 49) (L 1055, off 37) (L 1097, off 22) (L 1274, off 39) (L 1404, off 29) (L 1809, off 47) (L 1983, off 44) (L 2061, off 0) (L 2090, off 16) (L 2547, off 28) (L 2695, off 27) (L 2772, off 16) (L 2953, off 11) (L 3099, off 32) (L 3125, off 14) (L 3167, off 31) (L 3259, off 15) (L 3587, off 13) (L 3617, off 50) (L 3809, off 54) (L 3913, off 28) (L 3925, off 14) 
 "small" 31 (L 254, off 24) (L 258, off 26) (L 438, off 33) (L 439, off 19) (L 563, off 58) (L 1062, off 9) (L 1172, off 49) (L 1409, off 5) (L 1412, off 26) (L 1462, off 47) (L 1749, off 39) (L 1887, off 63) (L 1939, off 63) (L 2039, off 38) (L 2591, off 11) (L 2647, off 43) (L 2811, off 34) (L 3293, off 0) (L 3466, off 6) (L 3603, off 61) (L 3718, off 38) (L 3747, off 37) (L 3945, off 11) (L 4136, off 0) (L 4136, off 34) (L 4187, off 36) (L 4188, off 25) (L 4196, off 46) (L 4200, off 35) (L 4904, off 55) (L 4924, off 54) 
 "Nolan" 32 (L 1343, off 18) (L 1343, off 50) (L 1355, off 6) (L 1367, off 38) (L 1378, off 14) (L 1406, off 53) (L 1443, off 28) (L 1445, off 1) (L 1445, off 47) (L 1446, off 46) (L 1537, off 31) (L 1648, off 29) (L 1689, off 24) (L 1747, off 18) (L 1760, off 6) (L 1778, off 6) (L 1785, off 49) (L 1809, off 62) (L 1825, off 12) (L 1834, off 6) (L 1849, off 48) (L 1871, off 25) (L 1916, off 0) (L 1928, off 31) (L 1966, off 20) (L 1990, off 11) (L 2064, off 47) (L 2636, off 58) (L 3390, off 47) (L 4324, off 50) (L 4378, off 39) (L 4536, off 33) 
 "take" 32 (L 155, off 21) (L 222, off 18) (L 237, off 3) (L 729, off 60) (L 846, off 0) (L 873, off 4) (L 879, off 0) (L 1052, off 3) (L 1749, off 11) (L 1760, off 28) (L 1775, off 39) (L 1812, off 12) (L 1843, off 41) (L 1874, off 20) (L 2320, off 53) (L 2886, off 56) (L 2955, off 11) (L 3170, off 32) (L 3178, off 28) (L 3321, off 44) (L 3328, off 6) (L 3501, off 7) (L 3575, off 28) (L 3586, off 41) (L 3755, off 31) (L 3820, off 17) (L 3895, off 60) (L 4080, off 57) (L 4087, off 35) (L 4235, off 25) (L 4473, off 0) (L 4495, off 54) 
 "Maybe" 33 (L 209, off 1) (L 215, off 1) (L 228, off 21) (L 288, off 1) (L 291, off 1) (L 638, off 1) (L 644, off 1) (L 856, off 1) (L 859, off 26) (L 877, off 1) (L 968, off 1) (L 1004, off 37) (L 1044, off 1) (L 1393, off 31) (L 1688, off 1) (L 1711, off 1) (L 1768, off 0) (L 1807, off 1) (L 1908, off 32) (L 2021, off 49) (L 2052, off 39) (L 2383, off 50) (L 2453, off 1) (L 2672, off 1) (L 3415, off 43) (L 3519, off 27) (L 3521, off 31) (L 3538, off 1) (L 3558, off 1) (L 3759, off 1) (L 3814, off 6) (L 4344, off 57) (L 4375, off 37) 
 "Why" 33 (L 150, off 1) (L 172, off 1) (L 177, off 22) (L 236, off 1) (L 383, off 1) (L 402, off 1) (L 588, off 65) (L 821, off 1) (L 841, off 16) (L 871, off 1) (L 954, off 1) (L 1200, off 46) (L 1418, off 1) (L 1445, off 19) (L 1527, off 1) (L 1980, off 1) (L 1994, off 1) (L 2018, off 1) (L 2049, off 1) (L 2064, off 1) (L 2345, off 31) (L 2463, off 66) (L 2614, off 1) (L 2659, off 1) (L 2789, off 43) (L 2984, off 1) (L 3005, off 16) (L 3142, off 1) (L 3186, off 31) (L 3555, off 1) (L 3888, off 1) (L 3980, off 1) (L 4032, off 21) 
 "off" 33 (L 222, off 23) (L 237, off 20) (L 491, off 12) (L 595, off 59) (L 635, off 56) (L 814, off 27) (L 1034, off 18) (L 1083, off 5) (L 1255, off 44) (L 1291, off 18) (L 1415, off 29) (L 1945, off 51) (L 1951, off 55) (L 1986, off 20) (L 2184, off 59) (L 2211, off 3) (L 2320, off 58) (L 2338, off 14) (L 2591, off 5) (L 2986, off 20) (L 2988, off 24) (L 3422, off 24) (L 3470, off 66) (L 3735, off 48) (L 3746, off 11) (L 3757, off 36) (L 3816, off 13) (L 3868, off 15) (L 3916, off 31) (L 4092, off 32) (L 4107, off 47) (L 4240, off 21) (L 4430, off 15) 
 "put" 33 (L 184, off 14) (L 222, off 54) (L 274, off 13) (L 397, off 35) (L 700, off 63) (L 838, off 46) (L 1023, off 32) (L 1035, off 57) (L 1218, off 62) (L 2050, off 11) (L 2136, off 50) (L 2221, off 7) (L 2444, off 40) (L 2496, off 17) (L 2498, off 33) (L 2696, off 43) (L 2706, off 9) (L 2710, off 38) (L 2732, off 61) (L 2778, off 62) (L 3295, off 61) (L 3403, off 65) (L 3486, off 36) (L 3897, off 21) (L 3972, off 65) (L 3987, off 21) (L 3989, off 6) (L 3996, off 21) (L 3998, off 61) (L 4094, off 3) (L 4184, off 16) (L 4200, off 26) (L 4477, off 35) 
 "too" 33 (L 148, off 20) (L 228, off 39) (L 271, off 4) (L 304, off 64) (L 586, off 48) (L 610, off 34) (L 1055, off 31) (L 1068, off 13) (L 1186, off 35) (L 1425, off 17) (L 1521, off 49) (L 1870, off 57) (L 1934, off 8) (L 1973, off 24) (L 1985, off 31) (L 2034, off 4) (L 2130, off 10) (L 2139, off 45) (L 2262, off 58) (L 2360, off 43) (L 2461, off 15) (L 2559, off 29) (L 2975, off 9) (L 3001, off 6) (L 3092, off 16) (L 3099, off 65) (L 3292, off 63) (L 3801, off 11) (L 3815, off 8) (L 3950, off 16) (L 4016, off 34) (L 4038, off 62) (L 4421, off 7) 
 "won" 33 (L 286, off 0) (L 405, off 9) (L 417, off 64) (L 446, off 40) (L 755, off 65) (L 760, off 28) (L 873, off 29) (L 1482, off 36) (L 1688, off 41) (L 1903, off 57) (L 1909, off 61) (L 1996, off 66) (L 2001, off 54) (L 2025, off 46) (L 2419, off 30) (L 2435, off 32) (L 2616, off 14) (L 2686, off 5) (L 2690, off 24) (L 2710, off 24) (L 2814, off 4) (L 2830, off 22) (L 2883, off 33) (L 3538, off 21) (L 3987, off 5) (L 3996, off 5) (L 3998, off 37) (L 4095, off 0) (L 4154, off 0) (L 4360, off 48) (L 4511, off 24) (L 4517, off 53) (L 4539, off 57) 
 "answered" 34 (L 155, off 31) (L 164, off 43) (L 209, off 22) (L 218, off 42) (L 245, off 10) (L 298, off 23) (L 349, off 23) (L 406, off 21) (L 604, off 34) (L 695, off 46) (L 1022, off 50) (L 1182, off 11) (L 1420, off 55) (L 1614, off 22) (L 1631, off 21) (L 1767, off 30) (L 1834, off 31) (L 1864, off 58) (L 1870, off 41) (L 1996, off 11) (L 2043, off 12) (L 2066, off 32) (L 2079, off 62) (L 2303, off 0) (L 2359, off 45) (L 2433, off 13) (L 2661, off 11) (L 3566, off 46) (L 3645, off 6) (L 3653, off 28) (L 3679, off 16) (L 3910, off 23) (L 4094, off 46) (L 4392, off 16) 
 "cried" 34 (L 366, off 53) (L 375, off 14) (L 377, off 60) (L 381, off 20) (L 538, off 22) (L 713, off 14) (L 937, off 36) (L 1045, off 10) (L 1119, off 18) (L 1150, off 6) (L 1200, off 28) (L 1360, off 42) (L 2146, off 37) (L 2240, off 38) (L 2247, off 12) (L 2488, off 37) (L 2864, off 18) (L 2908, off 13) (L 2924, off 18) (L 2935, off 48) (L 2998, off 15) (L 3021, off 25) (L 3241, off 9) (L 3453, off 17) (L 3769, off 19) (L 3789, off 16) (L 3797, off 14) (L 3864, off 15) (L 3883, off 21) (L 4193, off 15) (L 4271, off 15) (L 4404, off 24) (L 4415, off 56) (L 4424, off 6) 
 "let" 34 (L 181, off 6) (L 203, off 29) (L 236, off 29) (L 278, off 40) (L 341, off 51) (L 429, off 16) (L 516, off 7) (L 521, off 0) (L 754, off 16) (L 782, off 50) (L 785, off 43) (L 1260, off 19) (L 1767, off 45) (L 1879, off 35) (L 1887, off 38) (L 2218, off 14) (L 2443, off 20) (L 2631, off 60) (L 2710, off 30) (L 2749, off 41) (L 2866, off 19) (L 2872, off 7) (L 2888, off 14) (L 2889, off 31) (L 2916, off 46) (L 3154, off 37) (L 3161, off 14) (L 3169, off 6) (L 3170, off 60) (L 3580, off 12) (L 4083, off 19) (L 4176, off 0) (L 4211, off 6) (L 4465, off 2) 
 "night" 34 (L 1550, off 16) (L 1569, off 40) (L 1597, off 60) (L 1636, off 51) (L 1663, off 25) (L 1768, off 30) (L 2681, off 0) (L 2726, off 13) (L 3333, off 0) (L 3367, off 9) (L 3404, off 29) (L 3586, off 24) (L 3624, off 54) (L 3633, off 38) (L 3643, off 0) (L 3884, off 22) (L 3886, off 23) (L 3900, off 17) (L 3967, off 17) (L 4071, off 65) (L 4088, off 60) (L 4095, off 27) (L 4125, off 2) (L 4135, off 40) (L 4145, off 4) (L 4151, off 0) (L 4157, off 4) (L 4185, off 33) (L 4214, off 46) (L 4235, off 56) (L 4260, off 42) (L 4372, off 52) (L 4377, off 40) (L 4504, off 5) 
 "caught" 35 (L 633, off 0) (L 1177, off 31) (L 1655, off 3) (L 1764, off 22) (L 1768, off 9) (L 1826, off 8) (L 1859, off 15) (L 2518, off 5) (L 2541, off 4) (L 2543, off 46) (L 2552, off 20) (L 2559, off 39) (L 2572, off 23) (L 2757, off 0) (L 2768, off 31) (L 2856, off 34) (L 2864, off 9) (L 2871, off 47) (L 2883, off 43) (L 2906, off 7) (L 2948, off 30) (L 2981, off 46) (L 2999, off 51) (L 3011, off 19) (L 3021, off 7) (L 3043, off 8) (L 3057, off 24) (L 3071, off 18) (L 3083, off 50) (L 3119, off 57) (L 3142, off 33) (L 3198, off 9) (L 3296, off 42) (L 3336, off 54) (L 3405, off 7) 
 "must" 35 (L 867, off 16) (L 1036, off 20) (L 1164, off 50) (L 1175, off 4) (L 1267, off 32) (L 1369, off 40) (L 1380, off 55) (L 1384, off 48) (L 1566, off 6) (L 1742, off 0) (L 1837, off 44) (L 1983, off 14) (L 2062, off 5) (L 2074, off 63) (L 2154, off 5) (L 2166, off 4) (L 2204, off 25) (L 2255, off 59) (L 3952, off 32) (L 4005, off 22) (L 4013, off 58) (L 4019, off 6) (L 4039, off 2) (L 4150, off 11) (L 4326, off 48) (L 4646, off 33) (L 4692, off 49) (L 4709, off 10) (L 4716, off 0) (L 4737, off 4) (L 4740, off 28) (L 4757, off 5) (L 4767, off 19) (L 4782, off 29) (L 4818, off 44) 
 "then" 35 (L 306, off 42) (L 668, off 35) (L 907, off 23) (L 1082, off 66) (L 1111, off 67) (L 1177, off 5) (L 1200, off 5) (L 1510, off 5) (L 1553, off 0) (L 1674, off 11) (L 1820, off 27) (L 1914, off 64) (L 2161, off 9) (L 2414, off 39) (L 2424, off 24) (L 2444, off 33) (L 2446, off 20) (L 2663, off 32) (L 2724, off 11) (L 2956, off 10) (L 3074, off 30) (L 3262, off 7) (L 3335, off 41) (L 3351, off 0) (L 3351, off 18) (L 3555, off 34) (L 3575, off 7) (L 3580, off 7) (L 3608, off 15) (L 3698, off 54) (L 4041, off 21) (L 4061, off 35) (L 4115, off 65) (L 4396, off 32) (L 4503, off 19) 
 "three" 35 (L 231, off 20) (L 247, off 4) (L 249, off 7) (L 262, off 17) (L 293, off 7) (L 321, off 4) (L 327, off 57) (L 353, off 4) (L 355, off 25) (L 428, off 10) (L 466, off 24) (L 1073, off 54) (L 1121, off 0) (L 1177, off 51) (L 1285, off 4) (L 1299, off 65) (L 1751, off 36) (L 2514, off 17) (L 2781, off 54) (L 2966, off 28) (L 2989, off 15) (L 3095, off 51) (L 3591, off 66) (L 3795, off 58) (L 3806, off 65) (L 3855, off 26) (L 3861, off 29) (L 3871, off 12) (L 3899, off 6) (L 3945, off 35) (L 4011, off 64) (L 4092, off 0) (L 4236, off 0) (L 4259, off 56) (L 4347, off 64) 
