 "'AS-IS'" 1 
 "--bootlegging" 1 (L 378, off 50) 
 "police" 1 (L 706, off 0) 
 "ponder" 1 (L 1382, off 47) 
 "population" 1 (L 388, off 0) 
 "pores" 1 (L 1150, off 23) 
 "position" 1 (L 629, off 15) 
 "possessed" 1 (L 1582, off 22) 
 "possession" 1 (L 1456, off 0) 
 "possibilities" 1 (L 155, off 14) 
 "possibly" 1 (L 102, off 27) 
 "pounce" 1 (L 150, off 46) 
 "practically" 1 (L 1431, off 17) 
 "practice" 1 (L 577, off 9) 
 "preamble" 1 (L 488, off 42) 
 "predictable" 1 (L 1273, off 0) 
 "preparation" 1 (L 449, off 47) 
 "presents" 1 (L 1110, off 10) 
 "preserve" 1 (L 1469, off 19) 
 "press" 1 (L 299, off 59) 
 "pressures" 1 (L 1100, off 0) 
 "prevent" 1 (L 1478, off 17) 
 "previous" 1 (L 1415, off 34) 
 "principal" 1 (L 1695, off 17) 
 "print" 1 (L 1418, off 24) 
 "prisoner" 1 (L 1133, off 22) 
 "prisoner's" 1 (L 112, off 58) 
 "prisoner-patient" 1 (L 1127, off 52) 
 "prisoners'" 1 
 "probing" 1 (L 506, off 63) 
 "problem" 1 (L 1639, off 41) 
 "procedure" 1 (L 1170, off 15) 
 "process" 1 (L 587, off 45) 
 "process--a" 1 (L 1069, off 0) 
 "processing" 1 (L 1547, off 9) 
 "proclaiming" 1 (L 1307, off 0) 
 "prodded" 1 (L 1002, off 39) 
 "prodding" 1 (L 1098, off 22) 
 "producing" 1 (L 1107, off 30) 
 "production" 1 (L 1659, off 0) 
 "profits" 1 (L 1565, off 44) 
 "prohibition" 1 (L 1730, off 58) 
 "projection" 1 (L 850, off 29) 
 "promotion" 1 (L 1659, off 12) 
 "promptly" 1 (L 1314, off 9) 
 "proofread" 1 (L 1604, off 61) 
 "proportion" 1 (L 154, off 20) 
 "proprietary" 1 (L 1546, off 41) 
 "prosecution" 1 (L 694, off 24) 
 "protecting" 1 (L 1074, off 0) 
 "proved" 1 (L 1286, off 13) 
 "proves" 1 (L 1080, off 34) 
 "provision" 1 (L 1652, off 24) 
 "provisions" 1 (L 1653, off 10) 
 "provocative" 1 (L 507, off 0) 
 "psychiatrist" 1 (L 1114, off 20) 
 "psychiatry" 1 (L 1299, off 60) 
 "publication" 1 (L 49, off 36) 
 "publicity" 1 (L 457, off 55) 
 "pulled" 1 (L 853, off 36) 
 "punch" 1 (L 618, off 39) 
 "punches" 1 (L 619, off 24) 
 "punctured" 1 (L 1025, off 62) 
 "punished" 1 (L 484, off 39) 
 "punk's" 1 (L 556, off 44) 
 "punk--I'm" 1 (L 186, off 40) 
 "pupils" 1 (L 894, off 4) 
 "pure" 1 (L 1043, off 33) 
 "purpose" 1 (L 1429, off 15) 
 "purpose--to" 1 (L 1380, off 59) 
 "puzzled" 1 (L 614, off 16) 
 "pyrotechnics" 1 (L 1042, off 4) 
 "quacks" 1 (L 570, off 35) 
 "quarter" 1 (L 146, off 13) 
 "queried" 1 (L 864, off 56) 
 "questioning" 1 (L 482, off 18) 
 "quieted" 1 (L 468, off 51) 
 "quite" 1 (L 118, off 28) 
 "quivering" 1 (L 649, off 0) 
 "quote" 1 (L 583, off 30) 
 "radiographer" 1 (L 836, off 0) 
 "radius" 1 (L 909, off 32) 
 "rain" 1 (L 1149, off 16) 
 "ran" 1 (L 1025, off 19) 
 "ranged" 1 (L 1335, off 9) 
 "rasp" 1 (L 72, off 44) 
 "rationing" 1 (L 388, off 28) 
 "reaches" 1 (L 1274, off 30) 
 "reaching" 1 (L 1676, off 37) 
 "really" 1 (L 535, off 42) 
 "reason" 1 (L 961, off 37) 
 "reasoning" 1 (L 1297, off 3) 
 "rebelled" 1 (L 497, off 15) 
 "receiving" 1 (L 1629, off 49) 
 "recent" 1 (L 842, off 22) 
 "recess" 1 (L 1022, off 41) 
 "recessed" 1 (L 106, off 56) 
 "recommended" 1 (L 1106, off 19) 
 "recording" 1 (L 1251, off 0) 
 "red" 1 (L 784, off 67) 
 "redistribute" 1 (L 1539, off 52) 
 "redistributing" 1 (L 1521, off 0) 
 "redistribution" 1 (L 1433, off 41) 
 "reduce" 1 (L 648, off 52) 
 "reductive" 1 (L 1067, off 18) 
 "reel" 1 (L 442, off 18) 
 "reference" 1 (L 1292, off 62) 
 "referring" 1 (L 924, off 14) 
 "reflectively" 1 (L 409, off 56) 
 "refuge" 1 (L 1302, off 7) 
 "refutation" 1 (L 1234, off 54) 
 "register" 1 (L 1036, off 0) 
 "registers" 1 (L 73, off 8) 
 "regular" 1 (L 646, off 55) 
 "regulating" 1 (L 1720, off 55) 
 "reinterpreted" 1 (L 385, off 58) 
 "relating" 1 (L 1035, off 38) 
 "relationship" 1 (L 1357, off 40) 
 "release" 1 (L 1361, off 16) 
 "releases" 1 (L 1360, off 0) 
 "relief" 1 (L 1165, off 0) 
 "relieved" 1 (L 160, off 51) 
 "relieving" 1 (L 1099, off 35) 
 "religions" 1 (L 1080, off 17) 
 "remain" 1 (L 1678, off 0) 
 "remained" 1 (L 1000, off 0) 
 "remaining" 1 (L 1653, off 0) 
 "remoteness" 1 (L 581, off 11) 
 "removal" 1 (L 906, off 48) 
 "remove" 1 (L 1535, off 34) 
 "renamed" 1 (L 1416, off 3) 
 "renewed" 1 (L 49, off 52) 
 "repair" 1 (L 755, off 3) 
 "repeated" 1 (L 135, off 22) 
 "report" 1 (L 864, off 8) 
 "reporter" 1 (L 328, off 52) 
 "reports" 1 (L 1429, off 61) 
 "representations" 1 (L 1496, off 0) 
 "representing" 1 (L 224, off 13) 
 "reproduction" 1 (L 996, off 16) 
 "require" 1 (L 1581, off 20) 
 "required" 1 (L 1572, off 10) 
 "resembling" 1 (L 1009, off 25) 
 "respects" 1 (L 994, off 0) 
 "responsible" 1 (L 480, off 26) 
 "rested" 1 (L 289, off 23) 
 "resting" 1 (L 1372, off 0) 
 "restoring" 1 (L 1097, off 4) 
 "restraint" 1 (L 694, off 59) 
 "result" 1 (L 696, off 12) 
 "resulted" 1 (L 753, off 39) 
 "results" 1 (L 458, off 11) 
 "resurgent" 1 (L 372, off 0) 
 "retire" 1 (L 692, off 41) 
 "retiring" 1 (L 220, off 19) 
 "retraced" 1 (L 1283, off 3) 
 "retreat" 1 (L 691, off 18) 
 "retrieved" 1 (L 722, off 27) 
 "returned" 1 (L 729, off 35) 
 "returns" 1 (L 1572, off 49) 
 "reveals" 1 (L 1103, off 0) 
 "reviewed" 1 (L 1282, off 18) 
 "revised" 1 (L 1345, off 12) 
 "ridges" 1 (L 69, off 57) 
 "rim" 1 (L 908, off 41) 
 "rippled" 1 (L 1205, off 50) 
 "ripples" 1 (L 560, off 28) 
 "rise" 1 (L 1166, off 0) 
 "risk" 1 (L 291, off 30) 
 "roads" 1 (L 559, off 0) 
 "robbery" 1 (L 377, off 62) 
 "robbing" 1 (L 232, off 4) 
 "rocking" 1 (L 89, off 23) 
 "routine" 1 (L 1130, off 38) 
 "row" 1 (L 344, off 14) 
 "royalty" 1 (L 1565, off 12) 
 "rubbed" 1 (L 821, off 12) 
 "ruled" 1 (L 1068, off 10) 
 "rumor" 1 (L 503, off 23) 
 "rumors" 1 (L 568, off 17) 
 "sacrament'" 1 
 "sag" 1 (L 502, off 32) 
 "sagged" 1 (L 1182, off 56) 
 "sagging" 1 (L 78, off 58) 
 "said--'Law" 1 (L 585, off 0) 
 "sales" 1 (L 88, off 0) 
 "samples" 1 (L 815, off 9) 
 "sawed-off" 1 (L 176, off 24) 
 "says" 1 (L 333, off 9) 
 "scars" 1 (L 207, off 0) 
 "scattered" 1 (L 1697, off 29) 
 "school-teacher" 1 (L 893, off 25) 
 "scientific" 1 (L 1009, off 9) 
 "scoop" 1 (L 285, off 13) 
 "screen--the" 1 (L 1166, off 59) 
 "scribbled" 1 (L 341, off 37) 
 "sear" 1 (L 1257, off 32) 
 "search" 1 (L 1757, off 56) 
 "searching" 1 (L 452, off 0) 
 "seat" 1 (L 606, off 55) 
 "seated" 1 (L 297, off 24) 
 "secure" 1 (L 1679, off 63) 
 "security" 1 (L 1262, off 0) 
 "seeing" 1 (L 1387, off 53) 
 "seeks" 1 (L 617, off 63) 
 "seems" 1 (L 1111, off 22) 
 "seen" 1 (L 648, off 0) 
 "seeped" 1 (L 1150, off 0) 
 "seized" 1 (L 1186, off 12) 
 "selected" 1 (L 796, off 18) 
 "selection" 1 (L 516, off 32) 
 "self-consciously" 1 (L 299, off 0) 
 "semantic" 1 (L 1335, off 43) 
 "sensation" 1 (L 561, off 12) 
 "sensational" 1 (L 1085, off 37) 
 "sense" 1 (L 576, off 12) 
 "sensed" 1 (L 1237, off 9) 
 "sensuous" 1 (L 129, off 37) 
 "series" 1 (L 1260, off 50) 
 "serious-minded" 1 (L 393, off 32) 
 "seriously" 1 (L 753, off 0) 
 "served" 1 (L 1380, off 41) 
 "session" 1 (L 878, off 24) 
 "seventeenth" 1 (L 841, off 58) 
 "seventy-two" 1 (L 876, off 0) 
 "shadow" 1 (L 1370, off 55) 
 "shallow" 1 (L 1163, off 55) 
 "shared" 1 (L 1747, off 7) 
 "sharing" 1 (L 1482, off 42) 
 "shattered" 1 (L 1254, off 50) 
 "sheet" 1 (L 714, off 57) 
 "shell" 1 (L 1358, off 30) 
 "shifted" 1 (L 1083, off 7) 
 "shirt" 1 (L 1154, off 10) 
 "shootin'" 1 
 "shooting" 1 (L 232, off 23) 
 "shootings" 1 (L 346, off 20) 
 "short" 1 (L 878, off 47) 
 "shortness" 1 (L 159, off 39) 
 "shotgun" 1 (L 176, off 34) 
 "should--I" 1 (L 316, off 23) 
 "shoulders" 1 (L 988, off 35) 
 "shouted" 1 (L 1169, off 25) 
 "showing" 1 (L 1158, off 24) 
 "shrewdly" 1 (L 502, off 42) 
 "shrillness" 1 (L 461, off 16) 
 "sighed" 1 (L 922, off 41) 
 "signalling" 1 (L 893, off 40) 
 "silenced" 1 (L 349, off 16) 
 "silver" 1 (L 578, off 5) 
 "similar" 1 (L 694, off 51) 
 "similarity" 1 (L 732, off 14) 
 "simple" 1 (L 435, off 2) 
 "simplified" 1 (L 1162, off 60) 
 "simply" 1 (L 1041, off 52) 
 "single" 1 (L 714, off 50) 
 "sinuses" 1 (L 838, off 23) 
 "sir" 1 (L 657, off 11) 
 "situation" 1 (L 778, off 26) 
 "sixties" 1 (L 505, off 0) 
 "skill" 1 (L 826, off 9) 
 "skillful" 1 (L 1098, off 13) 
 "skull" 1 (L 896, off 11) 
 "sky" 1 (L 521, off 4) 
 "skyline" 1 (L 1369, off 44) 
 "slash" 1 (L 110, off 13) 
 "slashed" 1 (L 138, off 15) 
 "sleight-of-hand" 1 (L 471, off 49) 
 "slight" 1 (L 605, off 49) 
 "slow" 1 (L 1165, off 46) 
 "slower" 1 (L 1081, off 14) 
 "smearing" 1 (L 665, off 29) 
 "smiling" 1 (L 1295, off 22) 
 "smooth" 1 (L 1205, off 61) 
 "smoother" 1 (L 157, off 0) 
 "so-called" 1 (L 767, off 39) 
 "soared" 1 (L 1037, off 15) 
 "soaring" 1 (L 370, off 0) 
 "soberly" 1 (L 191, off 38) 
 "socket" 1 (L 908, off 34) 
 "softness" 1 (L 74, off 14) 
 "sojourned" 1 (L 841, off 37) 
 "solely" 1 (L 1261, off 0) 
 "solicitation" 1 (L 1730, off 17) 
 "solicitude" 1 (L 167, off 21) 
 "someone" 1 (L 269, off 63) 
 "soon" 1 (L 878, off 3) 
 "soothingly" 1 (L 1174, off 13) 
 "sordid" 1 (L 385, off 40) 
 "sort--and" 1 (L 1056, off 34) 
 "sounded" 1 (L 462, off 33) 
 "south" 1 (L 496, off 25) 
 "sovereign" 1 (L 1261, off 38) 
 "space-weary" 1 (L 863, off 24) 
 "spangle" 1 (L 272, off 41) 
 "spasmodically" 1 (L 1186, off 23) 
 "spatiality" 1 (L 1050, off 11) 
 "speak" 1 (L 998, off 47) 
 "speaking" 1 (L 381, off 16) 
 "specially" 1 (L 1158, off 57) 
 "species" 1 (L 996, off 57) 
 "specific" 1 (L 1427, off 0) 
 "speculation--without" 1 (L 369, off 17) 
 "speculatively" 1 (L 775, off 30) 
 "spinal" 1 (L 910, off 17) 
 "spinning" 1 (L 442, off 5) 
 "spiritual" 1 (L 1067, off 52) 
 "split" 1 (L 1254, off 28) 
 "sponge" 1 (L 906, off 21) 
 "spoon-fed" 1 (L 1086, off 53) 
 "sportsman" 1 (L 394, off 38) 
 "spraying" 1 (L 177, off 26) 
 "spread" 1 (L 1713, off 0) 
 "sputtered" 1 (L 1254, off 17) 
 "squarely-built" 1 (L 878, off 54) 
 "squeezed" 1 (L 387, off 21) 
 "stare" 1 (L 342, off 13) 
 "state's" 1 (L 1693, off 27) 
 "stated" 1 (L 1114, off 33) 
 "statements" 1 (L 1735, off 4) 
 "stating" 1 (L 776, off 20) 
 "station" 1 (L 864, off 34) 
 "stations" 1 (L 56, off 22) 
 "steadily" 1 (L 1092, off 43) 
 "step" 1 (L 1328, off 32) 
 "stilled" 1 (L 574, off 14) 
 "stillness" 1 (L 469, off 9) 
 "stir" 1 (L 61, off 27) 
 "stirred" 1 (L 592, off 14) 
 "stomach" 1 (L 497, off 7) 
 "stoop" 1 (L 746, off 28) 
 "stopped" 1 (L 62, off 25) 
 "stored" 1 (L 1607, off 54) 
 "stormed" 1 (L 744, off 28) 
 "strain" 1 (L 1183, off 29) 
 "strained" 1 (L 441, off 0) 
 "stretcher" 1 (L 178, off 25) 
 "stricken" 1 (L 768, off 48) 
 "striking" 1 (L 842, off 55) 
 "strings" 1 (L 1336, off 36) 
 "strode" 1 (L 742, off 4) 
 "strong" 1 (L 211, off 46) 
 "strove" 1 (L 1073, off 0) 
 "structural" 1 (L 849, off 45) 
 "structure" 1 (L 472, off 29) 
 "stubbornly" 1 (L 1004, off 21) 
 "students" 1 (L 1390, off 63) 
 "stunned" 1 (L 194, off 24) 
 "stuttering" 1 (L 649, off 11) 
 "subdued" 1 (L 317, off 57) 
 "subpoenaed" 1 (L 505, off 54) 
 "subscribe" 1 (L 1763, off 0) 
 "suddenly" 1 (L 127, off 0) 
 "suffice" 1 (L 1393, off 24) 
 "sugar" 1 (L 378, off 25) 
 "summarize" 1 (L 1333, off 58) 
 "summary" 1 (L 1278, off 24) 
 "summation" 1 (L 1234, off 41) 
 "summer" 1 (L 1149, off 9) 
 "sun" 1 (L 327, off 8) 
 "superficial" 1 (L 1317, off 50) 
 "suppose" 1 (L 1203, off 47) 
 "suppression" 1 (L 1164, off 24) 
 "surely" 1 (L 1042, off 60) 
 "surfaces" 1 (L 1157, off 38) 
 "surgical" 1 (L 884, off 12) 
 "surpass" 1 (L 1054, off 51) 
 "surprise" 1 (L 690, off 20) 
 "surprised" 1 (L 1136, off 25) 
 "surrounded" 1 (L 1045, off 56) 
 "surroundings" 1 (L 1348, off 14) 
 "survival" 1 (L 1261, off 56) 
 "survive" 1 (L 1712, off 45) 
 "sustain" 1 (L 374, off 37) 
 "swamp" 1 (L 1736, off 43) 
 "swayed" 1 (L 579, off 35) 
 "sweep" 1 (L 520, off 40) 
 "swung" 1 (L 523, off 9) 
 "symbol" 1 (L 649, off 22) 
 "symbols" 1 (L 1036, off 63) 
 "sympathy" 1 (L 571, off 25) 
 "symphony" 1 (L 826, off 20) 
 "synonymous" 1 (L 1669, off 24) 
 "syntax" 1 (L 1254, off 60) 
 "systems" 1 (L 1116, off 42) 
 "tables" 1 (L 319, off 9) 
 "tactics" 1 (L 746, off 42) 
 "takin'" 1 
 "talk--that" 1 (L 1222, off 34) 
 "tall" 1 (L 873, off 60) 
 "tangle" 1 (L 127, off 14) 
 "tapped" 1 (L 941, off 40) 
 "tastefully" 1 (L 398, off 49) 
 "taught" 1 (L 449, off 4) 
 "taunt" 1 (L 165, off 18) 
 "taxes" 1 (L 1567, off 47) 
 "tear" 1 (L 905, off 9) 
 "technique" 1 (L 847, off 4) 
 "technological" 1 (L 1382, off 18) 
 "technology" 1 (L 1036, off 27) 
 "teetered" 1 (L 684, off 5) 
 "teeth" 1 (L 666, off 6) 
 "televised" 1 (L 249, off 23) 
 "temporality" 1 (L 1050, off 23) 
 "ten-minute" 1 (L 1022, off 30) 
 "tensions" 1 (L 1099, off 57) 
 "tenth" 1 (L 1169, off 50) 
 "testified" 1 (L 1097, off 57) 
 "testify" 1 (L 506, off 0) 
 "testifying" 1 (L 1167, off 27) 
 "texts" 1 (L 1517, off 13) 
 "that--right" 1 (L 93, off 16) 
 "thereto" 1 (L 588, off 56) 
 "thievery" 1 (L 377, off 31) 
 "this--this" 1 (L 801, off 51) 
 "thoughts" 1 (L 1342, off 16) 
 "throat" 1 (L 189, off 47) 
 "thunder" 1 (L 72, off 35) 
 "tighter" 1 (L 388, off 15) 
 "tipping" 1 (L 281, off 63) 
 "tired" 1 (L 523, off 49) 
 "tireless" 1 (L 493, off 60) 
 "tires" 1 (L 559, off 27) 
 "tissue" 1 (L 996, off 0) 
 "titillated" 1 (L 1085, off 19) 
 "titter" 1 (L 1309, off 2) 
 "today" 1 (L 977, off 17) 
 "together" 1 (L 1242, off 7) 
 "told" 1 (L 473, off 66) 
 "toll" 1 (L 1185, off 29) 
 "tones" 1 (L 1334, off 38) 
 "tonight" 1 (L 1393, off 5) 
 "tool" 1 (L 260, off 60) 
 "torment" 1 (L 1226, off 22) 
 "total" 1 (L 1131, off 53) 
 "totally" 1 (L 767, off 62) 
 "touches" 1 (L 1060, off 32) 
 "towering" 1 (L 294, off 56) 
 "traced" 1 (L 372, off 54) 
 "tracing" 1 (L 1166, off 23) 
 "tradition" 1 (L 708, off 43) 
 "transcend" 1 (L 1047, off 23) 
 "transcribe" 1 (L 1604, off 46) 
 "transcription" 1 (L 1609, off 17) 
 "transplanted" 1 (L 954, off 54) 
 "transplants" 1 (L 947, off 8) 
 "traveler" 1 (L 395, off 0) 
 "treat" 1 (L 694, off 18) 
 "tremendously" 1 (L 975, off 56) 
 "tried--as" 1 (L 1296, off 0) 
 "truest" 1 (L 1344, off 12) 
 "trust" 1 (L 448, off 34) 
 "truths" 1 (L 986, off 36) 
 "tube" 1 (L 1154, off 46) 
 "tubes" 1 (L 910, off 64) 
 "twelve" 1 (L 479, off 46) 
 "twenty" 1 (L 976, off 9) 
 "twin" 1 (L 387, off 42) 
 "twisting" 1 (L 122, off 16) 
 "txt" 1 (L 1407, off 38) 
 "types" 1 (L 1647, off 53) 
 "ulna" 1 (L 909, off 45) 
 "ultimate" 1 (L 1296, off 41) 
 "ultimately" 1 (L 1072, off 15) 
 "umbilicial" 1 (L 848, off 30) 
 "uncertainly" 1 (L 309, off 12) 
 "unconcealed" 1 (L 776, off 34) 
 "unconsciously" 1 (L 1349, off 21) 
 "uncover" 1 (L 48, off 36) 
 "underground" 1 (L 372, off 14) 
 "understandingly" 1 (L 659, off 12) 
 "underwent" 1 (L 1114, off 55) 
 "underworld" 1 (L 319, off 19) 
 "unenforceability" 1 (L 1652, off 0) 
 "unexpected" 1 (L 61, off 39) 
 "unexpectedly" 1 (L 685, off 29) 
 "unhappy" 1 (L 88, off 17) 
 "uniform" 1 (L 1722, off 40) 
 "unique" 1 (L 1068, off 37) 
 "universe" 1 (L 1274, off 45) 
 "unlink" 1 (L 1535, off 14) 
 "unlocked" 1 (L 1266, off 0) 
 "unprotected" 1 (L 1476, off 33) 
 "unquestionably" 1 (L 1326, off 0) 
 "unrelated" 1 (L 1195, off 26) 
 "unsaid" 1 (L 1397, off 40) 
 "unsolicited" 1 (L 1731, off 18) 
 "unyielding" 1 (L 1187, off 0) 
 "uplifted" 1 (L 586, off 36) 
 "us--how" 1 (L 788, off 31) 
 "value" 1 (L 371, off 52) 
 "various" 1 (L 1408, off 33) 
 "vascular" 1 (L 1116, off 17) 
 "veil" 1 (L 1102, off 63) 
 "version" 1 (L 1550, off 0) 
 "vessel" 1 (L 910, off 57) 
 "vibrantly" 1 (L 1377, off 34) 
 "viewed" 1 (L 1506, off 11) 
 "viewers" 1 (L 62, off 52) 
 "viewing" 1 (L 1557, off 42) 
 "vindicated" 1 (L 1326, off 56) 
 "violated--but" 1 (L 1326, off 23) 
 "violets" 1 (L 435, off 25) 
 "virtuosity" 1 (L 1297, off 53) 
 "virus" 1 (L 1611, off 25) 
 "visible" 1 (L 1159, off 24) 
 "visibly" 1 (L 79, off 54) 
 "vision--reflected" 1 (L 1226, off 0) 
 "visitor" 1 (L 393, off 64) 
 "void" 1 (L 1652, off 62) 
 "voluntarily" 1 (L 1177, off 0) 
 "volunteer" 1 (L 1749, off 0) 
 "wake" 1 (L 87, off 27) 
 "wakened" 1 (L 1054, off 0) 
 "walking" 1 (L 1353, off 34) 
 "walks" 1 (L 1673, off 19) 
 "wall" 1 (L 908, off 6) 
 "wall-screen" 1 (L 1374, off 23) 
 "wants" 1 (L 1076, off 35) 
 "ward" 1 (L 1285, off 50) 
 "warmer" 1 (L 266, off 51) 
 "warped" 1 (L 1119, off 19) 
 "warranties" 1 (L 1647, off 0) 
 "watchfully" 1 (L 300, off 41) 
 "watching" 1 (L 1189, off 57) 
 "water" 1 (L 1025, off 49) 
 "waxed" 1 (L 128, off 26) 
 "waxlike" 1 (L 328, off 30) 
 "ways" 1 (L 1740, off 0) 
 "we've" 1 (L 213, off 63) 
 "wearily" 1 (L 439, off 41) 
 "wearing" 1 (L 533, off 57) 
 "wedded" 1 (L 471, off 0) 
 "week" 1 (L 806, off 25) 
 "weekend's" 1 (L 457, off 45) 
 "weep" 1 (L 72, off 50) 
 "weight" 1 (L 1111, off 2) 
 "well--and" 1 (L 411, off 47) 
 "well-known" 1 (L 704, off 42) 
 "well-publicized" 1 (L 394, off 22) 
 "weren't" 1 (L 265, off 14) 
 "west" 1 (L 496, off 39) 
 "whatever" 1 (L 1380, off 5) 
 "wheeled" 1 (L 1153, off 0) 
 "wheezing" 1 (L 1186, off 3) 
 "whenever" 1 (L 1503, off 12) 
 "whether" 1 (L 118, off 42) 
 "whip" 1 (L 556, off 19) 
 "whiplash" 1 (L 305, off 7) 
 "whispered" 1 (L 458, off 30) 
 "whom" 1 (L 1459, off 20) 
 "wife's" 1 (L 1372, off 40) 
 "wildly" 1 (L 1250, off 64) 
 "will--have" 1 (L 1378, off 24) 
 "winding" 1 (L 558, off 61) 
 "winked" 1 (L 1310, off 26) 
 "wise" 1 (L 1098, off 47) 
 "wish" 1 (L 1594, off 14) 
 "withheld" 1 (L 1182, off 22) 
 "withhold" 1 (L 779, off 0) 
 "witness--a" 1 (L 1144, off 0) 
 "witnessed" 1 (L 745, off 22) 
 "wondered" 1 (L 148, off 52) 
 "wonderful" 1 (L 260, off 50) 
 "wordlessly" 1 (L 607, off 28) 
 "world--and" 1 (L 1046, off 31) 
 "worn" 1 (L 808, off 48) 
 "worth" 1 (L 1383, off 24) 
 "wrist" 1 (L 909, off 56) 
 "wrists" 1 (L 1242, off 42) 
 "wrong" 1 (L 1270, off 14) 
 "years--from" 1 (L 976, off 16) 
 "you'd" 1 (L 265, off 38) 
 "youngest" 1 (L 470, off 27) 
 "youth" 1 (L 127, off 58) 
 "youthful" 1 (L 703, off 42) 
 "zip" 1 (L 1407, off 51) 
 "-year-old" 2 (L 60, off 43) (L 1377, off 13) 
 "AGREE" 2 (L 1620, off 10) (L 1622, off 33) 
 "ASCII" 2 (L 1549, off 26) (L 1554, off 8) 
 "Administrator" 2 (L 1124, off 34) (L 1136, off 4) 
 "Any" 2 (L 472, off 53) (L 1554, off 30) 
 "Avenue" 2 (L 318, off 20) (L 386, off 58) 
 "BREACH" 2 (L 1621, off 11) (L 1621, off 33) 
 "Chief" 2 (L 880, off 62) (L 1706, off 4) 
 "Cornea" 2 (L 947, off 1) (L 952, off 12) 
 "Could" 2 (L 372, off 27) (L 817, off 1) 
 "DAMAGES" 2 (L 1614, off 39) (L 1625, off 11) 
 "Defender" 2 (L 102, off 7) (L 180, off 35) 
 "Distributed" 2 (L 28, off 0) (L 1412, off 0) 
 "Doctor" 2 (L 979, off 38) (L 1017, off 12) 
 "Don't" 2 (L 115, off 1) (L 287, off 1) 
 "Donations" 2 (L 1709, off 29) (L 1739, off 23) 
 "EBOOK" 2 (L 22, off 36) (L 1405, off 34) 
 "Emspak's" 2 (L 372, off 38) (L 703, off 5) 
 "Exactly" 2 
 "Except" 2 (L 1614, off 49) (L 1641, off 7) 
 "FULL" 2 (L 1435, off 7) (L 1437, off 4) 
 "Fairbanks" 2 (L 1695, off 40) (L 1696, off 32) 
 "Gentleman" 2 (L 384, off 52) (L 388, off 44) 
 "Gibbs" 2 (L 439, off 62) (L 451, off 50) 
 "Gould" 2 (L 438, off 18) (L 438, off 27) 
 "Greg" 2 (L 27, off 12) (L 1411, off 12) 
 "Hospital" 2 (L 881, off 14) (L 1286, off 0) 
 "However" 2 (L 763, off 0) (L 1547, off 39) 
 "I'll" 2 (L 141, off 1) (L 650, off 29) 
 "Jury" 2 (L 939, off 30) (L 1179, off 59) 
 "LICENSE" 2 (L 1435, off 12) (L 1437, off 27) 
 "Leibowitz" 2 (L 448, off 62) (L 449, off 60) 
 "Many" 2 (L 647, off 44) (L 1716, off 49) 
 "Marge" 2 (L 263, off 18) (L 432, off 29) 
 "Mary" 2 (L 27, off 24) (L 1411, off 24) 
 "Meehan" 2 (L 27, off 29) (L 1411, off 29) 
 "Monday" 2 (L 107, off 14) (L 457, off 25) 
 "Mystery" 2 (L 269, off 1) (L 269, off 30) 
 "NOT" 2 (L 1623, off 63) (L 1643, off 64) 
 "Next" 2 (L 289, off 0) (L 1155, off 16) 
 "Note" 2 (L 46, off 26) (L 635, off 12) 
 "Objection" 2 (L 744, off 1) (L 1169, off 1) 
 "Once" 2 (L 830, off 37) (L 1182, off 0) 
 "Online" 2 (L 27, off 44) (L 1411, off 44) 
 "Plain" 2 (L 1549, off 12) (L 1553, off 63) 
 "Plato" 2 (L 511, off 34) (L 1007, off 15) 
 "Produced" 2 (L 27, off 0) (L 1411, off 0) 
 "Proofreading" 2 (L 28, off 12) (L 1412, off 12) 
 "Public" 2 (L 102, off 0) (L 180, off 28) 
 "Royalty" 2 (L 1570, off 41) (L 1572, off 58) 
 "START" 2 (L 22, off 4) (L 1435, off 0) 
 "Science" 2 (L 47, off 28) (L 1340, off 41) 
 "Second" 2 (L 600, off 1) (L 601, off 60) 
 "See" 2 (L 1466, off 62) (L 1470, off 18) 
 "She" 2 (L 264, off 42) (L 666, off 13) 
 "Some" 2 (L 1355, off 1) (L 1646, off 7) 
 "THAT" 2 (L 1620, off 16) (L 1622, off 39) 
 "Team" 2 (L 28, off 25) (L 1412, off 25) 
 "Tenth" 2 (L 318, off 14) (L 386, off 52) 
 "Terms" 2 (L 1422, off 51) (L 1447, off 19) 
 "Thus" 2 (L 1272, off 1) (L 1753, off 48) 
 "Use" 2 (L 1422, off 60) (L 1447, off 28) 
 "Vanilla" 2 (L 1549, off 18) (L 1554, off 0) 
 "Vitallium" 2 (L 896, off 1) (L 900, off 1) 
 "WARRANTIES" 2 (L 1643, off 6) (L 1644, off 11) 
 "WARRANTY" 2 (L 1614, off 15) (L 1621, off 21) 
 "We've" 2 (L 206, off 24) (L 568, off 1) 
 "Weeks" 2 (L 27, off 17) (L 1411, off 17) 
 "Where" 2 (L 633, off 1) (L 1201, off 1) 
 "Would" 2 (L 249, off 1) (L 483, off 20) 
 "Yeah" 2 (L 338, off 1) (L 418, off 1) 
 "above" 2 (L 55, off 22) (L 69, off 42) 
 "acceptance" 2 (L 97, off 42) (L 106, off 16) 
 "accepting" 2 (L 479, off 36) (L 1731, off 8) 
 "active" 2 (L 1501, off 36) (L 1542, off 0) 
 "admits" 2 (L 352, off 46) (L 1289, off 20) 
 "adrift" 2 (L 56, off 31) (L 1195, off 0) 
