 "'AS-IS'"
 "--bootlegging"(L 378, off 50) 
 "shouted"(L 1169, off 25) 
 "showing"(L 1158, off 24) 
 "shrewdly"(L 502, off 42) 
 "shrillness"(L 461, off 16) 
 "sighed"(L 922, off 41) 
 "signalling"(L 893, off 40) 
 "silenced"(L 349, off 16) 
 "silver"(L 578, off 5) 
 "similar"(L 694, off 51) 
 "similarity"(L 732, off 14) 
 "simple"(L 435, off 2) 
 "simplified"(L 1162, off 60) 
 "simply"(L 1041, off 52) 
 "single"(L 714, off 50) 
 "sinuses"(L 838, off 23) 
 "sir"(L 657, off 11) 
 "situation"(L 778, off 26) 
 "sixties"(L 505, off 0) 
 "skill"(L 826, off 9) 
 "skillful"(L 1098, off 13) 
 "skull"(L 896, off 11) 
 "sky"(L 521, off 4) 
 "skyline"(L 1369, off 44) 
 "slash"(L 110, off 13) 
 "slashed"(L 138, off 15) 
 "sleight-of-hand"(L 471, off 49) 
 "slight"(L 605, off 49) 
 "slow"(L 1165, off 46) 
 "slower"(L 1081, off 14) 
 "smearing"(L 665, off 29) 
 "smiling"(L 1295, off 22) 
 "smooth"(L 1205, off 61) 
 "smoother"(L 157, off 0) 
 "so-called"(L 767, off 39) 
 "soared"(L 1037, off 15) 
 "soaring"(L 370, off 0) 
 "soberly"(L 191, off 38) 
 "socket"(L 908, off 34) 
 "softness"(L 74, off 14) 
 "sojourned"(L 841, off 37) 
 "solely"(L 1261, off 0) 
 "solicitation"(L 1730, off 17) 
 "solicitude"(L 167, off 21) 
 "someone"(L 269, off 63) 
 "soon"(L 878, off 3) 
 "soothingly"(L 1174, off 13) 
 "sordid"(L 385, off 40) 
 "sort--and"(L 1056, off 34) 
 "sounded"(L 462, off 33) 
 "south"(L 496, off 25) 
 "sovereign"(L 1261, off 38) 
 "space-weary"(L 863, off 24) 
 "spangle"(L 272, off 41) 
 "spasmodically"(L 1186, off 23) 
 "spatiality"(L 1050, off 11) 
 "speak"(L 998, off 47) 
 "speaking"(L 381, off 16) 
 "specially"(L 1158, off 57) 
 "species"(L 996, off 57) 
 "specific"(L 1427, off 0) 
 "speculation--without"(L 369, off 17) 
 "speculatively"(L 775, off 30) 
 "spinal"(L 910, off 17) 
 "spinning"(L 442, off 5) 
 "spiritual"(L 1067, off 52) 
 "split"(L 1254, off 28) 
 "sponge"(L 906, off 21) 
 "spoon-fed"(L 1086, off 53) 
 "sportsman"(L 394, off 38) 
 "spraying"(L 177, off 26) 
 "spread"(L 1713, off 0) 
 "sputtered"(L 1254, off 17) 
 "squarely-built"(L 878, off 54) 
 "squeezed"(L 387, off 21) 
 "stare"(L 342, off 13) 
 "state's"(L 1693, off 27) 
 "stated"(L 1114, off 33) 
 "statements"(L 1735, off 4) 
 "stating"(L 776, off 20) 
 "station"(L 864, off 34) 
 "stations"(L 56, off 22) 
 "steadily"(L 1092, off 43) 
 "step"(L 1328, off 32) 
 "stilled"(L 574, off 14) 
 "stillness"(L 469, off 9) 
 "stir"(L 61, off 27) 
 "stirred"(L 592, off 14) 
 "stomach"(L 497, off 7) 
 "stoop"(L 746, off 28) 
 "stopped"(L 62, off 25) 
 "stored"(L 1607, off 54) 
 "stormed"(L 744, off 28) 
 "strain"(L 1183, off 29) 
 "strained"(L 441, off 0) 
 "stretcher"(L 178, off 25) 
 "stricken"(L 768, off 48) 
 "striking"(L 842, off 55) 
 "strings"(L 1336, off 36) 
 "strode"(L 742, off 4) 
 "strong"(L 211, off 46) 
 "strove"(L 1073, off 0) 
 "structural"(L 849, off 45) 
 "structure"(L 472, off 29) 
 "stubbornly"(L 1004, off 21) 
 "students"(L 1390, off 63) 
 "stunned"(L 194, off 24) 
 "stuttering"(L 649, off 11) 
 "subdued"(L 317, off 57) 
 "subpoenaed"(L 505, off 54) 
 "subscribe"(L 1763, off 0) 
 "suddenly"(L 127, off 0) 
 "suffice"(L 1393, off 24) 
 "sugar"(L 378, off 25) 
 "summarize"(L 1333, off 58) 
 "summary"(L 1278, off 24) 
 "summation"(L 1234, off 41) 
 "summer"(L 1149, off 9) 
 "sun"(L 327, off 8) 
 "superficial"(L 1317, off 50) 
 "suppose"(L 1203, off 47) 
 "suppression"(L 1164, off 24) 
 "surely"(L 1042, off 60) 
 "surfaces"(L 1157, off 38) 
 "surgical"(L 884, off 12) 
 "surpass"(L 1054, off 51) 
 "surprise"(L 690, off 20) 
 "surprised"(L 1136, off 25) 
 "surrounded"(L 1045, off 56) 
 "surroundings"(L 1348, off 14) 
 "survival"(L 1261, off 56) 
 "survive"(L 1712, off 45) 
 "sustain"(L 374, off 37) 
 "swamp"(L 1736, off 43) 
 "swayed"(L 579, off 35) 
 "sweep"(L 520, off 40) 
 "swung"(L 523, off 9) 
 "symbol"(L 649, off 22) 
 "symbols"(L 1036, off 63) 
 "sympathy"(L 571, off 25) 
 "symphony"(L 826, off 20) 
 "synonymous"(L 1669, off 24) 
 "syntax"(L 1254, off 60) 
 "systems"(L 1116, off 42) 
 "tables"(L 319, off 9) 
 "tactics"(L 746, off 42) 
 "takin'"
 "talk--that"(L 1222, off 34) 
 "tall"(L 873, off 60) 
 "tangle"(L 127, off 14) 
 "tapped"(L 941, off 40) 
 "tastefully"(L 398, off 49) 
 "taught"(L 449, off 4) 
 "taunt"(L 165, off 18) 
 "taxes"(L 1567, off 47) 
 "tear"(L 905, off 9) 
 "technique"(L 847, off 4) 
 "technological"(L 1382, off 18) 
 "technology"(L 1036, off 27) 
 "teetered"(L 684, off 5) 
 "teeth"(L 666, off 6) 
 "televised"(L 249, off 23) 
 "temporality"(L 1050, off 23) 
 "ten-minute"(L 1022, off 30) 
 "tensions"(L 1099, off 57) 
 "tenth"(L 1169, off 50) 
 "testified"(L 1097, off 57) 
 "testify"(L 506, off 0) 
 "testifying"(L 1167, off 27) 
 "texts"(L 1517, off 13) 
 "that--right"(L 93, off 16) 
 "thereto"(L 588, off 56) 
 "thievery"(L 377, off 31) 
 "this--this"(L 801, off 51) 
 "thoughts"(L 1342, off 16) 
 "throat"(L 189, off 47) 
 "thunder"(L 72, off 35) 
 "tighter"(L 388, off 15) 
 "tipping"(L 281, off 63) 
 "tired"(L 523, off 49) 
 "tireless"(L 493, off 60) 
 "tires"(L 559, off 27) 
 "tissue"(L 996, off 0) 
 "titillated"(L 1085, off 19) 
 "titter"(L 1309, off 2) 
 "today"(L 977, off 17) 
 "together"(L 1242, off 7) 
 "told"(L 473, off 66) 
 "toll"(L 1185, off 29) 
 "tones"(L 1334, off 38) 
 "tonight"(L 1393, off 5) 
 "tool"(L 260, off 60) 
 "torment"(L 1226, off 22) 
 "total"(L 1131, off 53) 
 "totally"(L 767, off 62) 
 "touches"(L 1060, off 32) 
 "towering"(L 294, off 56) 
 "traced"(L 372, off 54) 
 "tracing"(L 1166, off 23) 
 "tradition"(L 708, off 43) 
 "transcend"(L 1047, off 23) 
 "transcribe"(L 1604, off 46) 
 "transcription"(L 1609, off 17) 
 "transplanted"(L 954, off 54) 
 "transplants"(L 947, off 8) 
 "traveler"(L 395, off 0) 
 "treat"(L 694, off 18) 
 "tremendously"(L 975, off 56) 
 "tried--as"(L 1296, off 0) 
 "truest"(L 1344, off 12) 
 "trust"(L 448, off 34) 
 "truths"(L 986, off 36) 
 "tube"(L 1154, off 46) 
 "tubes"(L 910, off 64) 
 "twelve"(L 479, off 46) 
 "twenty"(L 976, off 9) 
 "twin"(L 387, off 42) 
 "twisting"(L 122, off 16) 
 "txt"(L 1407, off 38) 
 "types"(L 1647, off 53) 
 "ulna"(L 909, off 45) 
 "ultimate"(L 1296, off 41) 
 "ultimately"(L 1072, off 15) 
 "umbilicial"(L 848, off 30) 
 "uncertainly"(L 309, off 12) 
 "unconcealed"(L 776, off 34) 
 "unconsciously"(L 1349, off 21) 
 "uncover"(L 48, off 36) 
 "underground"(L 372, off 14) 
 "understandingly"(L 659, off 12) 
 "underwent"(L 1114, off 55) 
 "underworld"(L 319, off 19) 
 "unenforceability"(L 1652, off 0) 
 "unexpected"(L 61, off 39) 
 "unexpectedly"(L 685, off 29) 
 "unhappy"(L 88, off 17) 
 "uniform"(L 1722, off 40) 
 "unique"(L 1068, off 37) 
 "universe"(L 1274, off 45) 
 "unlink"(L 1535, off 14) 
 "unlocked"(L 1266, off 0) 
 "unprotected"(L 1476, off 33) 
 "unquestionably"(L 1326, off 0) 
 "unrelated"(L 1195, off 26) 
 "unsaid"(L 1397, off 40) 
 "unsolicited"(L 1731, off 18) 
 "unyielding"(L 1187, off 0) 
 "uplifted"(L 586, off 36) 
 "us--how"(L 788, off 31) 
 "value"(L 371, off 52) 
 "various"(L 1408, off 33) 
 "vascular"(L 1116, off 17) 
 "veil"(L 1102, off 63) 
 "version"(L 1550, off 0) 
 "vessel"(L 910, off 57) 
 "vibrantly"(L 1377, off 34) 
 "viewed"(L 1506, off 11) 
 "viewers"(L 62, off 52) 
 "viewing"(L 1557, off 42) 
 "vindicated"(L 1326, off 56) 
 "violated--but"(L 1326, off 23) 
 "violets"(L 435, off 25) 
 "virtuosity"(L 1297, off 53) 
 "virus"(L 1611, off 25) 
 "visible"(L 1159, off 24) 
 "visibly"(L 79, off 54) 
 "vision--reflected"(L 1226, off 0) 
 "visitor"(L 393, off 64) 
 "void"(L 1652, off 62) 
 "voluntarily"(L 1177, off 0) 
 "volunteer"(L 1749, off 0) 
 "wake"(L 87, off 27) 
 "wakened"(L 1054, off 0) 
 "walking"(L 1353, off 34) 
 "walks"(L 1673, off 19) 
 "wall"(L 908, off 6) 
 "wall-screen"(L 1374, off 23) 
 "wants"(L 1076, off 35) 
 "ward"(L 1285, off 50) 
 "warmer"(L 266, off 51) 
 "warped"(L 1119, off 19) 
 "warranties"(L 1647, off 0) 
 "watchfully"(L 300, off 41) 
 "watching"(L 1189, off 57) 
 "water"(L 1025, off 49) 
 "waxed"(L 128, off 26) 
 "waxlike"(L 328, off 30) 
 "ways"(L 1740, off 0) 
 "we've"(L 213, off 63) 
 "wearily"(L 439, off 41) 
 "wearing"(L 533, off 57) 
 "wedded"(L 471, off 0) 
 "week"(L 806, off 25) 
 "weekend's"(L 457, off 45) 
 "weep"(L 72, off 50) 
 "weight"(L 1111, off 2) 
 "well--and"(L 411, off 47) 
 "well-known"(L 704, off 42) 
 "well-publicized"(L 394, off 22) 
 "weren't"(L 265, off 14) 
 "west"(L 496, off 39) 
 "whatever"(L 1380, off 5) 
 "wheeled"(L 1153, off 0) 
 "wheezing"(L 1186, off 3) 
 "whenever"(L 1503, off 12) 
 "whether"(L 118, off 42) 
 "whip"(L 556, off 19) 
 "whiplash"(L 305, off 7) 
 "whispered"(L 458, off 30) 
 "whom"(L 1459, off 20) 
 "wife's"(L 1372, off 40) 
 "wildly"(L 1250, off 64) 
 "will--have"(L 1378, off 24) 
 "winding"(L 558, off 61) 
 "winked"(L 1310, off 26) 
 "wise"(L 1098, off 47) 
 "wish"(L 1594, off 14) 
 "withheld"(L 1182, off 22) 
 "withhold"(L 779, off 0) 
 "witness--a"(L 1144, off 0) 
 "witnessed"(L 745, off 22) 
 "wondered"(L 148, off 52) 
 "wonderful"(L 260, off 50) 
 "wordlessly"(L 607, off 28) 
 "world--and"(L 1046, off 31) 
 "worn"(L 808, off 48) 
 "worth"(L 1383, off 24) 
 "wrist"(L 909, off 56) 
 "wrists"(L 1242, off 42) 
 "wrong"(L 1270, off 14) 
 "years--from"(L 976, off 16) 
 "you'd"(L 265, off 38) 
 "youngest"(L 470, off 27) 
 "youth"(L 127, off 58) 
 "youthful"(L 703, off 42) 
 "zip"(L 1407, off 51) 
 "-year-old"(L 60, off 43) (L 1377, off 13) 
 "AGREE"(L 1620, off 10) (L 1622, off 33) 
 "ASCII"(L 1549, off 26) (L 1554, off 8) 
 "Administrator"(L 1124, off 34) (L 1136, off 4) 
 "Any"(L 472, off 53) (L 1554, off 30) 
 "Avenue"(L 318, off 20) (L 386, off 58) 
 "BREACH"(L 1621, off 11) (L 1621, off 33) 
 "Chief"(L 880, off 62) (L 1706, off 4) 
 "Cornea"(L 947, off 1) (L 952, off 12) 
 "Could"(L 372, off 27) (L 817, off 1) 
 "DAMAGES"(L 1614, off 39) (L 1625, off 11) 
 "Defender"(L 102, off 7) (L 180, off 35) 
 "Distributed"(L 28, off 0) (L 1412, off 0) 
 "Doctor"(L 979, off 38) (L 1017, off 12) 
 "Don't"(L 115, off 1) (L 287, off 1) 
 "Donations"(L 1709, off 29) (L 1739, off 23) 
 "EBOOK"(L 22, off 36) (L 1405, off 34) 
 "Emspak's"(L 372, off 38) (L 703, off 5) 
 "Exactly"
 "Except"(L 1614, off 49) (L 1641, off 7) 
 "FULL"(L 1435, off 7) (L 1437, off 4) 
 "Fairbanks"(L 1695, off 40) (L 1696, off 32) 
 "Gentleman"(L 384, off 52) (L 388, off 44) 
 "Gibbs"(L 439, off 62) (L 451, off 50) 
 "Gould"(L 438, off 18) (L 438, off 27) 
 "Greg"(L 27, off 12) (L 1411, off 12) 
 "Hospital"(L 881, off 14) (L 1286, off 0) 
 "However"(L 763, off 0) (L 1547, off 39) 
 "I'll"(L 141, off 1) (L 650, off 29) 
 "Jury"(L 939, off 30) (L 1179, off 59) 
 "LICENSE"(L 1435, off 12) (L 1437, off 27) 
 "Leibowitz"(L 448, off 62) (L 449, off 60) 
 "Many"(L 647, off 44) (L 1716, off 49) 
 "Marge"(L 263, off 18) (L 432, off 29) 
 "Mary"(L 27, off 24) (L 1411, off 24) 
 "Meehan"(L 27, off 29) (L 1411, off 29) 
 "Monday"(L 107, off 14) (L 457, off 25) 
 "Mystery"(L 269, off 1) (L 269, off 30) 
 "NOT"(L 1623, off 63) (L 1643, off 64) 
 "Next"(L 289, off 0) (L 1155, off 16) 
 "Note"(L 46, off 26) (L 635, off 12) 
 "Objection"(L 744, off 1) (L 1169, off 1) 
 "Once"(L 830, off 37) (L 1182, off 0) 
 "Online"(L 27, off 44) (L 1411, off 44) 
 "Plain"(L 1549, off 12) (L 1553, off 63) 
 "Plato"(L 511, off 34) (L 1007, off 15) 
 "Produced"(L 27, off 0) (L 1411, off 0) 
 "Proofreading"(L 28, off 12) (L 1412, off 12) 
 "Public"(L 102, off 0) (L 180, off 28) 
 "Royalty"(L 1570, off 41) (L 1572, off 58) 
 "START"(L 22, off 4) (L 1435, off 0) 
 "Science"(L 47, off 28) (L 1340, off 41) 
 "Second"(L 600, off 1) (L 601, off 60) 
 "See"(L 1466, off 62) (L 1470, off 18) 
 "She"(L 264, off 42) (L 666, off 13) 
 "Some"(L 1355, off 1) (L 1646, off 7) 
 "THAT"(L 1620, off 16) (L 1622, off 39) 
 "Team"(L 28, off 25) (L 1412, off 25) 
 "Tenth"(L 318, off 14) (L 386, off 52) 
 "Terms"(L 1422, off 51) (L 1447, off 19) 
 "Thus"(L 1272, off 1) (L 1753, off 48) 
 "Use"(L 1422, off 60) (L 1447, off 28) 
 "Vanilla"(L 1549, off 18) (L 1554, off 0) 
 "Vitallium"(L 896, off 1) (L 900, off 1) 
 "WARRANTIES"(L 1643, off 6) (L 1644, off 11) 
 "WARRANTY"(L 1614, off 15) (L 1621, off 21) 
 "We've"(L 206, off 24) (L 568, off 1) 
 "Weeks"(L 27, off 17) (L 1411, off 17) 
 "Where"(L 633, off 1) (L 1201, off 1) 
 "Would"(L 249, off 1) (L 483, off 20) 
 "Yeah"(L 338, off 1) (L 418, off 1) 
 "above"(L 55, off 22) (L 69, off 42) 
 "acceptance"(L 97, off 42) (L 106, off 16) 
 "accepting"(L 479, off 36) (L 1731, off 8) 
 "active"(L 1501, off 36) (L 1542, off 0) 
 "admits"(L 352, off 46) (L 1289, off 20) 
 "adrift"(L 56, off 31) (L 1195, off 0) 
 "afraid"(L 984, off 5) (L 1331, off 9) 
 "air"(L 995, off 50) (L 998, off 24) 
 "alive"(L 853, off 59) (L 1377, off 44) 
 "along"(L 298, off 9) (L 558, off 42) 
 "ambulance"(L 1285, off 0) (L 1285, off 24) 
 "ancestors"(L 1074, off 46) (L 1120, off 36) 
 "anger"(L 741, off 15) (L 1088, off 19) 
 "angle"(L 370, off 45) (L 384, off 26) 
 "angrily"(L 554, off 17) (L 934, off 45) 
 "announced"(L 699, off 22) (L 1141, off 46) 
 "anywhere"(L 3, off 36) (L 1508, off 38) 
 "apparently"(L 382, off 0) (L 968, off 58) 
 "appear"(L 508, off 32) (L 1502, off 64) 
 "appeared"(L 1072, off 48) (L 1347, off 47) 
 "appreciate"(L 285, off 0) (L 1385, off 35) 
 "approach"(L 1131, off 11) (L 1732, off 0) 
 "areas"(L 888, off 63) (L 1097, off 26) 
 "argument"(L 1302, off 21) (L 1335, off 0) 
 "asking"(L 407, off 9) (L 1328, off 6) 
 "aspects"(L 585, off 26) (L 1317, off 62) 
 "assist"(L 705, off 58) (L 984, off 25) 
 "assume"(L 817, off 10) (L 883, off 33) 
 "attached"(L 1157, off 4) (L 1486, off 21) 
 "attempt"(L 104, off 12) (L 568, off 62) 
 "available"(L 1444, off 29) (L 1678, off 14) 
 "bailiff"(L 112, off 36) (L 458, off 22) 
 "becoming"(L 587, off 56) (L 920, off 11) 
 "bed"(L 277, off 42) (L 498, off 16) 
 "begin"(L 517, off 37) (L 611, off 54) 
 "beginning"(L 860, off 0) (L 1533, off 0) 
 "bench"(L 742, off 22) (L 1020, off 12) 
 "better"(L 281, off 10) (L 991, off 19) 
 "bewildered"(L 117, off 26) (L 1032, off 37) 
 "bewilderment"(L 1212, off 16) (L 1266, off 59) 
 "beyond"(L 1037, off 22) (L 1286, off 20) 
 "billion"(L 977, off 9) (L 1299, off 32) 
 "biological"(L 784, off 6) (L 793, off 30) 
 "birth"(L 69, off 0) (L 385, off 29) 
 "bit"(L 150, off 60) (L 665, off 16) 
 "blind"(L 1068, off 58) (L 1274, off 10) 
 "blinking"(L 165, off 32) (L 342, off 47) 
 "block"(L 1165, off 24) (L 1250, off 12) 
 "blue"(L 435, off 20) (L 1140, off 66) 
 "born"(L 584, off 33) (L 1201, off 16) 
 "bound"(L 1457, off 64) (L 1464, off 12) 
 "boy"(L 443, off 59) (L 444, off 50) 
 "bring"(L 827, off 54) (L 1345, off 23) 
 "brushed"(L 210, off 50) (L 1192, off 18) 
 "build-up"(L 292, off 7) (L 292, off 27) 
 "button"(L 1373, off 0) (L 1396, off 17) 
 "calculated"(L 291, off 19) (L 1566, off 40) 
 "carry"(L 1296, off 20) (L 1713, off 39) 
 "cases"(L 411, off 31) (L 706, off 25) 
 "cause"(L 1662, off 30) (L 1665, off 11) 
 "changed"(L 969, off 0) (L 1369, off 64) 
 "chest"(L 906, off 36) (L 908, off 0) 
 "chew"(L 100, off 11) (L 1087, off 32) 
 "close"(L 516, off 7) (L 1153, off 8) 
 "coming"(L 464, off 40) (L 500, off 0) 
 "commentator"(L 374, off 8) (L 504, off 11) 
 "committed"(L 1210, off 15) (L 1720, off 18) 
 "compare"(L 725, off 17) (L 808, off 9) 
 "completed"(L 517, off 0) (L 1134, off 0) 
 "complex"(L 1260, off 35) (L 1385, off 57) 
 "computer"(L 1611, off 16) (L 1611, off 35) 
 "computers"(L 1671, off 0) (L 1671, off 55) 
 "concerning"(L 1496, off 16) (L 1735, off 15) 
 "connection"(L 352, off 57) (L 376, off 0) 
 "considerable"(L 1603, off 57) (L 1723, off 0) 
 "constant"(L 1193, off 15) (L 1491, off 5) 
 "contain"(L 1518, off 0) (L 1608, off 0) 
 "contemplating"(L 580, off 13) (L 684, off 53) 
 "continues"(L 1076, off 4) (L 1300, off 0) 
 "copied"(L 1506, off 19) (L 1519, off 35) 
 "corneas"(L 949, off 30) (L 954, off 36) 
 "correct"(L 712, off 9) (L 971, off 43) 
 "costs"(L 1619, off 30) (L 1660, off 47) 
 "crack"(L 297, off 0) (L 305, off 16) 
 "crank"(L 442, off 23) (L 445, off 25) 
 "creature"(L 1045, off 9) (L 1069, off 11) 
 "credit"(L 483, off 30) (L 1740, off 43) 
 "curly"(L 127, off 31) (L 1191, off 35) 
 "damage"(L 755, off 14) (L 1611, off 55) 
 "damages"(L 1619, off 21) (L 1648, off 0) 
 "damn"(L 175, off 18) (L 530, off 0) 
 "deepest"(L 585, off 18) (L 1344, off 0) 
 "deeply"(L 185, off 46) (L 281, off 36) 
 "defect"(L 1587, off 56) (L 1629, off 0) 
 "defined"(L 993, off 0) (L 1072, off 29) 
 "definition"(L 980, off 7) (L 991, off 26) 
 "deliver"(L 575, off 3) (L 1313, off 47) 
 "demonstrated"(L 446, off 52) (L 851, off 0) 
 "denoting"(L 1164, off 15) (L 1164, off 57) 
 "depends"(L 1129, off 18) (L 1712, off 21) 
 "deputies"(L 363, off 34) (L 513, off 17) 
 "destroy"(L 1455, off 0) (L 1581, off 53) 
 "detector"(L 1152, off 16) (L 1177, off 25) 
 "died"(L 189, off 32) (L 584, off 4) 
 "direct"(L 888, off 13) (L 962, off 31) 
 "direction"(L 860, off 22) (L 1152, off 54) 
 "disclaimer"(L 1648, off 16) (L 1650, off 51) 
 "discuss"(L 183, off 0) (L 247, off 9) 
 "distinguished"(L 642, off 10) (L 992, off 2) 
 "dollar"(L 101, off 9) (L 1299, off 40) 
 "domain"(L 1475, off 42) (L 1714, off 32) 
 "dots"(L 875, off 17) (L 876, off 12) 
 "draw"(L 934, off 63) (L 1303, off 20) 
 "dropped"(L 678, off 37) (L 1250, off 56) 
 "earlier"(L 62, off 8) (L 992, off 33) 
 "easily"(L 1163, off 4) (L 1484, off 60) 
 "ebook"(L 9, off 5) (L 1514, off 32) 
 "eight"(L 873, off 49) (L 1013, off 14) 
 "either"(L 794, off 0) (L 1523, off 0) 
 "electronically"(L 1635, off 43) (L 1637, off 32) 
 "emotional"(L 1167, off 0) (L 1335, off 29) 
 "employees"(L 1603, off 40) (L 1697, off 15) 
 "entirely"(L 815, off 22) (L 852, off 18) 
 "establish"(L 789, off 0) (L 839, off 3) 
 "evening"(L 369, off 8) (L 517, off 49) 
 "every"(L 436, off 0) (L 1034, off 28) 
 "evolution"(L 1071, off 31) (L 1072, off 58) 
 "exempt"(L 1689, off 37) (L 1717, off 61) 
 "exist"(L 1361, off 0) (L 1361, off 62) 
 "exists"(L 1340, off 7) (L 1672, off 0) 
 "expect"(L 357, off 8) (L 477, off 22) 
 "expenses"(L 1619, off 40) (L 1660, off 57) 
 "explain"(L 750, off 17) (L 1162, off 48) 
 "explanation"(L 1631, off 8) (L 1633, off 18) 
 "expression"(L 930, off 58) (L 1102, off 32) 
 "extent"(L 762, off 5) (L 1692, off 50) 
 "faded"(L 469, off 0) (L 1369, off 9) 
 "fast"(L 1154, off 25) (L 1165, off 31) 
 "federal"(L 1690, off 41) (L 1693, off 5) 
 "file"(L 1407, off 11) (L 1444, off 49) 
 "files"(L 1408, off 24) (L 1536, off 37) 
 "fine"(L 260, off 17) (L 260, off 28) 
 "finger"(L 348, off 16) (L 910, off 0) 
 "fingers"(L 442, off 44) (L 1371, off 39) 
 "firmly"(L 667, off 0) (L 1280, off 9) 
 "food"(L 388, off 23) (L 995, off 41) 
 "forget"(L 284, off 13) (L 569, off 39) 
 "formats"(L 1408, off 41) (L 1670, off 20) 
 "frantic"(L 1255, off 0) (L 1382, off 0) 
 "frequently"(L 488, off 15) (L 1115, off 25) 
 "friends"(L 396, off 0) (L 1397, off 0) 
 "fully"(L 591, off 10) (L 1272, off 63) 
 "game"(L 170, off 19) (L 589, off 0) 
 "gasp"(L 361, off 0) (L 999, off 19) 
 "gate"(L 113, off 0) (L 133, off 18) 
 "gesture"(L 211, off 18) (L 349, off 0) 
 "glad"(L 275, off 9) (L 469, off 29) 
 "grown"(L 318, off 39) (L 975, off 50) 
 "half"(L 67, off 21) (L 513, off 33) 
 "handed"(L 715, off 21) (L 721, off 37) 
 "hard"(L 359, off 66) (L 499, off 19) 
 "hear"(L 63, off 0) (L 1763, off 37) 
 "helluva"(L 205, off 49) (L 206, off 2) 
 "hesitated"(L 666, off 17) (L 964, off 14) 
 "high"(L 254, off 23) (L 821, off 50) 
 "hold"(L 1337, off 26) (L 1655, off 46) 
 "hoodlum"(L 103, off 30) (L 1040, off 49) 
 "house"(L 1358, off 44) (L 1359, off 12) 
 "humanities"(L 585, off 50) (L 1391, off 33) 
 "hundred"(L 57, off 0) (L 479, off 4) 
 "immediate"(L 1502, off 0) (L 1542, off 16) 
 "immediately"(L 349, off 43) (L 1309, off 60) 
 "increasing"(L 1117, off 0) (L 1714, off 0) 
 "indeed"(L 384, off 6) (L 829, off 40) 
 "industry"(L 973, off 0) (L 1299, off 47) 
 "infinite"(L 1060, off 44) (L 1262, off 56) 
 "injuries"(L 754, off 23) (L 762, off 31) 
 "innuendo"(L 374, off 45) (L 374, off 57) 
 "intellectual"(L 1452, off 45) (L 1610, off 0) 
 "interest"(L 382, off 24) (L 776, off 46) 
 "intrigued"(L 253, off 32) (L 849, off 0) 
 "intuitive"(L 1078, off 38) (L 1081, off 30) 
 "irregular"(L 1170, off 39) (L 1176, off 25) 
 "isn't"(L 240, off 12) (L 866, off 22) 
 "jail"(L 295, off 31) (L 381, off 43) 
 "judge"(L 470, off 51) (L 601, off 15) 
 "juvenile"(L 376, off 46) (L 840, off 23) 
 "keeping"(L 1483, off 57) (L 1485, off 43) 
 "kept"(L 597, off 43) (L 1031, off 60) 
 "killed"(L 103, off 46) (L 1231, off 0) 
 "killer"(L 44, off 43) (L 571, off 40) 
 "knowing"(L 130, off 20) (L 481, off 0) 
 "knows"(L 757, off 8) (L 761, off 31) 
 "lap"(L 1194, off 15) (L 1241, off 54) 
 "large"(L 665, off 66) (L 850, off 45) 
 "lead"(L 177, off 35) (L 695, off 9) 
 "letter"(L 1322, off 61) (L 1325, off 45) 
 "liability"(L 1619, off 0) (L 1660, off 36) 
 "lie"(L 1152, off 12) (L 1177, off 21) 
 "lieu"(L 1635, off 0) (L 1637, off 50) 
 "light"(L 386, off 16) (L 1370, off 45) 
 "limited"(L 1608, off 36) (L 1641, off 22) 
 "lives"(L 1358, off 63) (L 1361, off 44) 
 "living"(L 1329, off 40) (L 1339, off 24) 
 "locations"(L 1698, off 0) (L 1724, off 56) 
 "locked"(L 1242, off 0) (L 1376, off 37) 
 "looking"(L 703, off 51) (L 986, off 13) 
 "lowered"(L 434, off 5) (L 969, off 21) 
 "main"(L 995, off 7) (L 1757, off 48) 
 "major"(L 594, off 64) (L 706, off 10) 
 "making"(L 1171, off 25) (L 1337, off 6) 
 "manner"(L 381, off 6) (L 1208, off 22) 
 "marked"(L 1546, off 12) (L 1573, off 29) 
 "meaning"(L 1344, off 19) (L 1383, off 0) 
 "meet"(L 289, off 43) (L 1723, off 53) 
 "memories"(L 451, off 18) (L 519, off 17) 
 "men"(L 298, off 24) (L 1034, off 58) 
 "merely"(L 1179, off 23) (L 1260, off 16) 
 "meticulously"(L 478, off 46) (L 796, off 5) 
 "mildly"(L 95, off 23) (L 759, off 25) 
 "mines"(L 444, off 9) (L 444, off 33) 
 "modern"(L 708, off 56) (L 1163, off 35) 
 "motioned"(L 363, off 18) (L 611, off 17) 
 "mystery"(L 269, off 48) (L 1122, off 0) 
 "named"(L 452, off 58) (L 1407, off 26) 
 "natural"(L 890, off 0) (L 1068, off 64) 
 "near"(L 830, off 60) (L 1301, off 15) 
 "nervous"(L 71, off 54) (L 627, off 26) 
 "nervously"(L 481, off 56) (L 1191, off 10) 
 "net"(L 28, off 49) (L 1412, off 49) 
 "nor"(L 352, off 42) (L 1304, off 36) 
 "note"(L 462, off 14) (L 652, off 32) 
 "notice"(L 1518, off 10) (L 1753, off 28) 
 "o'clock"(L 439, off 17) (L 518, off 23) 
 "observed"(L 650, off 14) (L 1009, off 36) 
 "obtaining"(L 1456, off 34) (L 1553, off 3) 
 "often"(L 149, off 0) (L 1751, off 32) 
