 "'AS-IS'" 1 
 "--Accident" 1 (L 9294, off 6) 
 "glass" 12 (L 3234, off 35) (L 5625, off 38) (L 6341, off 50) (L 7091, off 16) (L 7092, off 40) (L 7140, off 28) (L 7294, off 56) (L 7299, off 57) (L 7306, off 55) (L 7575, off 38) (L 8672, off 11) (L 8808, off 39) 
 "groan" 12 (L 2733, off 2) (L 2814, off 12) (L 2859, off 7) (L 4341, off 15) (L 5519, off 7) (L 5530, off 33) (L 5616, off 41) (L 5897, off 18) (L 8113, off 38) (L 8242, off 33) (L 8461, off 61) (L 8512, off 23) 
 "heavy" 12 (L 730, off 37) (L 1470, off 4) (L 2446, off 15) (L 2982, off 11) (L 3046, off 26) (L 4209, off 0) (L 4552, off 12) (L 5286, off 0) (L 5393, off 9) (L 5807, off 0) (L 7283, off 49) (L 8186, off 38) 
 "landed" 12 (L 915, off 43) (L 1832, off 52) (L 2665, off 11) (L 4151, off 3) (L 4210, off 16) (L 4299, off 10) (L 5280, off 51) (L 5304, off 15) (L 5639, off 45) (L 5800, off 26) (L 7950, off 0) (L 8947, off 26) 
 "large" 12 (L 687, off 6) (L 1572, off 38) (L 1580, off 40) (L 2226, off 18) (L 2509, off 19) (L 5202, off 19) (L 5543, off 14) (L 6215, off 41) (L 6852, off 3) (L 7692, off 13) (L 7999, off 2) (L 8620, off 11) 
 "less" 12 (L 507, off 34) (L 2701, off 46) (L 3734, off 20) (L 4995, off 18) (L 5507, off 59) (L 5870, off 12) (L 6383, off 9) (L 7371, off 13) (L 7672, off 9) (L 7868, off 64) (L 8068, off 19) (L 8443, off 32) 
 "lose" 12 (L 1968, off 57) (L 2678, off 3) (L 3218, off 0) (L 3558, off 50) (L 3662, off 3) (L 3933, off 60) (L 4036, off 18) (L 4456, off 52) (L 5886, off 17) (L 6177, off 61) (L 6592, off 57) (L 8489, off 38) 
 "managed" 12 (L 2113, off 31) (L 2891, off 63) (L 2975, off 6) (L 3015, off 46) (L 3297, off 37) (L 5287, off 6) (L 5671, off 6) (L 5903, off 4) (L 6705, off 47) (L 6722, off 21) (L 8185, off 22) (L 8668, off 0) 
 "picked" 12 (L 1634, off 8) (L 1693, off 34) (L 2734, off 24) (L 2924, off 42) (L 4249, off 42) (L 5925, off 59) (L 6091, off 60) (L 6444, off 20) (L 7728, off 30) (L 8256, off 8) (L 8427, off 56) (L 8446, off 44) 
 "possible" 12 (L 332, off 12) (L 585, off 51) (L 901, off 31) (L 1082, off 10) (L 2568, off 43) (L 3596, off 24) (L 3892, off 56) (L 6568, off 25) (L 6959, off 60) (L 7116, off 24) (L 7331, off 51) (L 7801, off 3) 
 "proceeded" 12 (L 1237, off 0) (L 1305, off 58) (L 2496, off 9) (L 2892, off 27) (L 5171, off 12) (L 5209, off 0) (L 5856, off 0) (L 6078, off 46) (L 6228, off 0) (L 7456, off 16) (L 8088, off 10) (L 8303, off 30) 
 "promise" 12 (L 1405, off 61) (L 1743, off 51) (L 1748, off 0) (L 1759, off 28) (L 1982, off 13) (L 1987, off 25) (L 2006, off 61) (L 2063, off 19) (L 3961, off 0) (L 6367, off 7) (L 6368, off 48) (L 6859, off 15) 
 "rage" 12 (L 383, off 31) (L 597, off 47) (L 716, off 0) (L 721, off 63) (L 755, off 43) (L 825, off 57) (L 2891, off 47) (L 4391, off 46) (L 5305, off 36) (L 5315, off 60) (L 5695, off 35) (L 6401, off 23) 
 "refused" 12 (L 2317, off 0) (L 2579, off 54) (L 2811, off 5) (L 5429, off 48) (L 5467, off 0) (L 6143, off 31) (L 6570, off 0) (L 6918, off 54) (L 7532, off 17) (L 7881, off 3) (L 8031, off 46) (L 8060, off 24) 
 "scared" 12 (L 920, off 11) (L 1492, off 15) (L 1616, off 42) (L 1619, off 20) (L 1633, off 16) (L 2042, off 14) (L 2181, off 56) (L 2758, off 46) (L 5348, off 55) (L 5638, off 41) (L 7170, off 11) (L 7978, off 37) 
 "senior" 12 (L 511, off 0) (L 520, off 56) (L 3162, off 21) (L 3172, off 17) (L 3215, off 17) (L 3243, off 40) (L 3537, off 42) (L 3938, off 40) (L 3948, off 38) (L 4008, off 0) (L 4708, off 32) (L 5876, off 52) 
 "shrieked" 12 (L 786, off 7) (L 846, off 34) (L 1344, off 25) (L 2803, off 26) (L 5883, off 0) (L 6441, off 52) (L 7866, off 31) (L 7899, off 25) (L 8308, off 25) (L 8352, off 52) (L 8423, off 16) (L 8477, off 10) 
 "sleep" 12 (L 2127, off 0) (L 2782, off 9) (L 4289, off 36) (L 4544, off 17) (L 4565, off 54) (L 4585, off 23) (L 4849, off 24) (L 4911, off 64) (L 5485, off 33) (L 5539, off 60) (L 6351, off 55) (L 6833, off 55) 
 "stop" 12 (L 307, off 36) (L 811, off 15) (L 1875, off 51) (L 2082, off 46) (L 2925, off 3) (L 3004, off 21) (L 4154, off 7) (L 5433, off 15) (L 6512, off 59) (L 7815, off 3) (L 8190, off 62) (L 8470, off 10) 
 "surprise" 12 (L 452, off 21) (L 1020, off 16) (L 2767, off 53) (L 2885, off 0) (L 2992, off 7) (L 3361, off 26) (L 4197, off 9) (L 5995, off 0) (L 6908, off 0) (L 7166, off 13) (L 7356, off 31) (L 8959, off 43) 
 "taking" 12 (L 974, off 59) (L 1610, off 39) (L 2031, off 40) (L 2310, off 41) (L 2886, off 58) (L 3127, off 33) (L 4662, off 59) (L 4665, off 54) (L 5135, off 19) (L 7455, off 40) (L 8553, off 0) (L 8555, off 29) 
 "true" 12 (L 2129, off 8) (L 2354, off 14) (L 3382, off 18) (L 4025, off 25) (L 4035, off 57) (L 4119, off 26) (L 5564, off 29) (L 5868, off 59) (L 6149, off 8) (L 6713, off 8) (L 7427, off 14) (L 9381, off 18) 
 "turning" 12 (L 377, off 42) (L 3942, off 27) (L 4725, off 60) (L 5347, off 4) (L 5392, off 54) (L 5561, off 38) (L 6144, off 45) (L 7529, off 40) (L 7654, off 50) (L 7791, off 61) (L 8384, off 44) (L 8833, off 30) 
 "using" 12 (L 8, off 62) (L 2147, off 47) (L 8176, off 5) (L 8189, off 21) (L 8199, off 46) (L 8222, off 10) (L 8305, off 6) (L 9643, off 37) (L 9652, off 19) (L 9656, off 44) (L 9716, off 21) (L 9768, off 51) 
 "wants" 12 (L 568, off 38) (L 612, off 19) (L 650, off 16) (L 1268, off 60) (L 3809, off 19) (L 4752, off 23) (L 4764, off 20) (L 5106, off 12) (L 6106, off 61) (L 7112, off 27) (L 7732, off 27) (L 8591, off 63) 
 "whether" 12 (L 636, off 58) (L 1658, off 52) (L 3011, off 58) (L 3610, off 34) (L 3664, off 47) (L 3917, off 51) (L 3933, off 41) (L 4195, off 43) (L 4867, off 48) (L 7474, off 18) (L 7575, off 9) (L 8557, off 25) 
 "whom" 12 (L 270, off 5) (L 902, off 19) (L 3230, off 67) (L 3231, off 55) (L 5123, off 41) (L 6239, off 46) (L 6612, off 37) (L 7804, off 0) (L 8623, off 58) (L 8628, off 55) (L 9389, off 20) (L 9661, off 20) 
 "wish" 12 (L 1480, off 17) (L 1955, off 33) (L 1961, off 0) (L 1991, off 44) (L 3723, off 25) (L 3969, off 3) (L 4287, off 0) (L 4294, off 34) (L 6194, off 3) (L 7312, off 19) (L 7667, off 17) (L 9796, off 14) 
 "worked" 12 (L 1282, off 51) (L 1477, off 22) (L 2350, off 37) (L 4325, off 42) (L 4619, off 62) (L 6616, off 8) (L 6663, off 24) (L 6709, off 35) (L 6773, off 6) (L 6851, off 26) (L 6985, off 55) (L 8007, off 62) 
 "worried" 12 (L 459, off 13) (L 510, off 45) (L 518, off 61) (L 1813, off 0) (L 3569, off 46) (L 4088, off 25) (L 4295, off 20) (L 4887, off 44) (L 4933, off 29) (L 6620, off 16) (L 6922, off 31) (L 7799, off 54) 
 "www" 12 (L 7, off 0) (L 27, off 40) (L 9612, off 15) (L 9615, off 40) (L 9647, off 0) (L 9714, off 21) (L 9753, off 1) (L 9886, off 0) (L 9906, off 17) (L 9932, off 12) (L 9946, off 22) (L 9963, off 10) 
 "yourself" 12 (L 835, off 35) (L 1594, off 58) (L 1633, off 33) (L 3356, off 16) (L 3558, off 19) (L 5312, off 52) (L 5339, off 5) (L 6151, off 26) (L 7224, off 15) (L 7294, off 6) (L 7316, off 5) (L 9580, off 46) 
 "Archive" 13 (L 9674, off 36) (L 9772, off 21) (L 9776, off 21) (L 9778, off 11) (L 9799, off 41) (L 9818, off 19) (L 9881, off 19) (L 9884, off 0) (L 9890, off 60) (L 9892, off 31) (L 9897, off 0) (L 9915, off 9) (L 9967, off 0) 
 "Every" 13 (L 588, off 34) (L 1042, off 6) (L 1736, off 28) (L 2026, off 15) (L 2425, off 0) (L 2454, off 0) (L 2459, off 0) (L 2489, off 29) (L 2533, off 0) (L 4194, off 30) (L 5813, off 12) (L 7707, off 15) (L 8280, off 40) 
 "Hold" 13 (L 1765, off 1) (L 1963, off 39) (L 2407, off 1) (L 2959, off 1) (L 4233, off 1) (L 4384, off 1) (L 4455, off 1) (L 5213, off 5) (L 5980, off 1) (L 6831, off 8) (L 7035, off 1) (L 8373, off 29) (L 8800, off 1) 
 "Literary" 13 (L 9674, off 27) (L 9772, off 12) (L 9776, off 12) (L 9778, off 2) (L 9799, off 32) (L 9818, off 10) (L 9881, off 10) (L 9883, off 55) (L 9890, off 51) (L 9892, off 22) (L 9896, off 61) (L 9915, off 0) (L 9966, off 57) 
 "Peters" 13 (L 5726, off 23) (L 5735, off 24) (L 5753, off 62) (L 5768, off 38) (L 5789, off 35) (L 5791, off 5) (L 5800, off 11) (L 5897, off 63) (L 5913, off 0) (L 5928, off 33) (L 5932, off 6) (L 5936, off 45) (L 5994, off 28) 
 "Southerner" 13 (L 3328, off 15) (L 5114, off 32) (L 5779, off 23) (L 6675, off 17) (L 6969, off 27) (L 7148, off 37) (L 7477, off 36) (L 7487, off 20) (L 7523, off 0) (L 7556, off 60) (L 7599, off 26) (L 8774, off 49) (L 8850, off 32) 
 "Wow" 13 (L 1346, off 10) (L 1860, off 49) (L 2319, off 1) (L 2547, off 47) (L 2554, off 33) (L 4305, off 56) (L 4343, off 1) (L 5629, off 1) (L 5636, off 1) (L 5653, off 1) (L 5653, off 52) (L 5860, off 1) (L 8267, off 1) 
 "angrily" 13 (L 1512, off 53) (L 2552, off 35) (L 2783, off 63) (L 3426, off 42) (L 5330, off 25) (L 5397, off 23) (L 6393, off 47) (L 6859, off 45) (L 7981, off 49) (L 8007, off 28) (L 8234, off 60) (L 8384, off 52) (L 8412, off 33) 
 "announced" 13 (L 1025, off 10) (L 1713, off 46) (L 2464, off 33) (L 2938, off 25) (L 2965, off 13) (L 4468, off 47) (L 5744, off 29) (L 6501, off 21) (L 6863, off 26) (L 6919, off 49) (L 7244, off 0) (L 7835, off 51) (L 8656, off 31) 
 "arrived" 13 (L 514, off 27) (L 1380, off 31) (L 2493, off 56) (L 5067, off 62) (L 5142, off 39) (L 5834, off 10) (L 6069, off 16) (L 6611, off 44) (L 6618, off 35) (L 6715, off 0) (L 7706, off 53) (L 8144, off 20) (L 8706, off 27) 
 "bank" 13 (L 605, off 0) (L 613, off 62) (L 1018, off 29) (L 1770, off 59) (L 2047, off 9) (L 2198, off 43) (L 2234, off 19) (L 2334, off 66) (L 2381, off 59) (L 2449, off 12) (L 6269, off 28) (L 6270, off 0) (L 6542, off 53) 
 "bets" 13 (L 2248, off 14) (L 2344, off 18) (L 3863, off 41) (L 3914, off 60) (L 3921, off 24) (L 3994, off 41) (L 4423, off 22) (L 4485, off 48) (L 6263, off 0) (L 6298, off 36) (L 7686, off 5) (L 7778, off 43) (L 7780, off 65) 
 "blow" 13 (L 502, off 50) (L 866, off 47) (L 869, off 13) (L 882, off 58) (L 915, off 38) (L 922, off 27) (L 1504, off 43) (L 3469, off 40) (L 3584, off 5) (L 4142, off 39) (L 4150, off 42) (L 4153, off 5) (L 4188, off 52) 
 "chair" 13 (L 1937, off 46) (L 3221, off 7) (L 3793, off 19) (L 4422, off 47) (L 4557, off 27) (L 5627, off 0) (L 6390, off 60) (L 6667, off 23) (L 6679, off 40) (L 7135, off 36) (L 7181, off 57) (L 7240, off 57) (L 7455, off 33) 
 "charge" 13 (L 3424, off 37) (L 5548, off 0) (L 7042, off 9) (L 7420, off 20) (L 7424, off 0) (L 7431, off 57) (L 8704, off 14) (L 9628, off 27) (L 9629, off 35) (L 9689, off 21) (L 9759, off 14) (L 9763, off 15) (L 9796, off 22) 
 "clothes" 13 (L 369, off 15) (L 435, off 15) (L 985, off 24) (L 4557, off 10) (L 4569, off 62) (L 4794, off 46) (L 4831, off 41) (L 5959, off 6) (L 6273, off 61) (L 6440, off 46) (L 6451, off 0) (L 7115, off 17) (L 8751, off 12) 
 "cousin" 13 (L 6607, off 24) (L 6709, off 24) (L 6757, off 7) (L 6804, off 44) (L 6847, off 63) (L 7167, off 61) (L 7212, off 12) (L 7214, off 32) (L 7328, off 0) (L 7507, off 29) (L 7514, off 60) (L 7587, off 28) (L 8767, off 52) 
 "cut" 13 (L 322, off 27) (L 446, off 43) (L 861, off 52) (L 1063, off 62) (L 1306, off 0) (L 1311, off 5) (L 2509, off 0) (L 4004, off 35) (L 4853, off 7) (L 6563, off 10) (L 7860, off 35) (L 8065, off 42) (L 8880, off 51) 
 "der" 13 (L 3516, off 29) (L 3523, off 37) (L 3634, off 7) (L 5772, off 58) (L 5985, off 16) (L 6183, off 9) (L 8120, off 33) (L 8133, off 29) (L 8390, off 5) (L 8390, off 54) (L 8402, off 26) (L 8412, off 51) (L 8477, off 65) 
 "doubt" 13 (L 306, off 4) (L 490, off 54) (L 619, off 13) (L 1086, off 7) (L 4269, off 38) (L 4348, off 44) (L 5124, off 48) (L 5574, off 27) (L 6288, off 13) (L 7573, off 63) (L 7580, off 32) (L 7608, off 13) (L 8149, off 59) 
 "dropped" 13 (L 264, off 19) (L 3040, off 56) (L 3273, off 8) (L 5759, off 50) (L 6448, off 12) (L 6667, off 8) (L 7346, off 50) (L 7992, off 7) (L 8014, off 14) (L 8191, off 46) (L 8250, off 17) (L 8252, off 58) (L 8453, off 43) 
 "end" 13 (L 38, off 42) (L 631, off 8) (L 1183, off 60) (L 1674, off 0) (L 2007, off 4) (L 2982, off 17) (L 3046, off 32) (L 5738, off 20) (L 5807, off 6) (L 6097, off 41) (L 6911, off 41) (L 7090, off 16) (L 8186, off 44) 
 "evident" 13 (L 366, off 7) (L 742, off 10) (L 757, off 12) (L 1207, off 43) (L 2895, off 12) (L 4044, off 0) (L 5066, off 0) (L 5638, off 7) (L 5644, off 44) (L 6709, off 7) (L 7166, off 56) (L 7420, off 31) (L 7911, off 39) 
 "feller" 13 (L 1256, off 39) (L 1750, off 9) (L 2258, off 17) (L 2295, off 14) (L 3752, off 46) (L 3862, off 9) (L 3869, off 38) (L 4637, off 35) (L 4653, off 9) (L 5590, off 23) (L 7248, off 18) (L 7279, off 43) (L 8611, off 22) 
 "flushed" 13 (L 1642, off 6) (L 2783, off 55) (L 3220, off 50) (L 3333, off 5) (L 3631, off 40) (L 3850, off 8) (L 5397, off 15) (L 6684, off 15) (L 6837, off 8) (L 7000, off 5) (L 7027, off 0) (L 8762, off 8) (L 8883, off 6) 
 "forced" 13 (L 323, off 18) (L 587, off 40) (L 987, off 7) (L 2787, off 59) (L 2951, off 4) (L 4609, off 33) (L 5290, off 11) (L 5370, off 16) (L 6637, off 0) (L 7578, off 46) (L 7679, off 10) (L 8221, off 37) (L 8544, off 16) 
 "green" 13 (L 1216, off 64) (L 1299, off 51) (L 1318, off 14) (L 1718, off 50) (L 2015, off 59) (L 2410, off 0) (L 3893, off 22) (L 4548, off 44) (L 4549, off 34) (L 4561, off 51) (L 5360, off 12) (L 6218, off 61) (L 6443, off 0) 
 "inside" 13 (L 1103, off 15) (L 1108, off 0) (L 1261, off 11) (L 1582, off 29) (L 1872, off 58) (L 2767, off 21) (L 2915, off 60) (L 3934, off 28) (L 4253, off 10) (L 4748, off 44) (L 5622, off 25) (L 5657, off 59) (L 6656, off 28) 
 "instantly" 13 (L 296, off 20) (L 889, off 41) (L 2495, off 28) (L 2688, off 23) (L 2733, off 51) (L 3339, off 25) (L 4215, off 0) (L 4284, off 36) (L 5547, off 7) (L 7096, off 27) (L 7115, off 49) (L 7349, off 58) (L 8375, off 36) 
 "letter" 13 (L 495, off 24) (L 496, off 0) (L 747, off 0) (L 1042, off 31) (L 1065, off 20) (L 1811, off 46) (L 1815, off 0) (L 1919, off 25) (L 1937, off 23) (L 1938, off 43) (L 1978, off 47) (L 2006, off 31) (L 7507, off 14) 
 "life" 13 (L 277, off 57) (L 374, off 31) (L 1768, off 13) (L 4472, off 17) (L 4560, off 34) (L 4562, off 7) (L 4601, off 25) (L 5839, off 4) (L 6273, off 33) (L 6452, off 22) (L 8433, off 53) (L 8680, off 54) (L 9875, off 28) 
 "low" 13 (L 482, off 24) (L 793, off 33) (L 2063, off 46) (L 3905, off 0) (L 4124, off 57) (L 4145, off 32) (L 4977, off 14) (L 5165, off 7) (L 5219, off 38) (L 7071, off 22) (L 7872, off 38) (L 7956, off 38) (L 8176, off 46) 
 "mouth" 13 (L 732, off 4) (L 834, off 63) (L 2189, off 0) (L 2754, off 26) (L 3327, off 28) (L 4050, off 40) (L 4153, off 41) (L 6219, off 34) (L 6397, off 60) (L 7240, off 23) (L 7467, off 53) (L 7735, off 31) (L 8384, off 19) 
 "myself" 13 (L 419, off 31) (L 859, off 43) (L 2253, off 41) (L 3203, off 20) (L 3230, off 0) (L 3574, off 61) (L 4571, off 0) (L 5019, off 33) (L 6263, off 22) (L 7062, off 63) (L 7171, off 20) (L 7273, off 24) (L 8917, off 25) 
 "near" 13 (L 517, off 0) (L 965, off 5) (L 1355, off 60) (L 1356, off 35) (L 1908, off 25) (L 2047, off 31) (L 2334, off 57) (L 4630, off 26) (L 4693, off 35) (L 7673, off 32) (L 7680, off 10) (L 8360, off 33) (L 8784, off 56) 
 "part" 13 (L 1378, off 23) (L 1484, off 51) (L 3721, off 64) (L 4013, off 23) (L 4638, off 46) (L 5442, off 55) (L 6361, off 36) (L 7236, off 16) (L 7298, off 63) (L 9624, off 64) (L 9652, off 29) (L 9738, off 56) (L 9742, off 24) 
 "pop" 13 (L 2975, off 17) (L 4453, off 8) (L 4473, off 50) (L 6253, off 33) (L 6326, off 46) (L 6347, off 16) (L 6357, off 9) (L 6386, off 19) (L 6746, off 66) (L 6749, off 0) (L 6807, off 12) (L 7695, off 11) (L 8185, off 43) 
 "queried" 13 (L 555, off 41) (L 3213, off 41) (L 3577, off 11) (L 4702, off 30) (L 4954, off 44) (L 5013, off 28) (L 6355, off 32) (L 6764, off 59) (L 7269, off 52) (L 7356, off 13) (L 8331, off 32) (L 8758, off 50) (L 8902, off 31) 
 "reason" 13 (L 420, off 10) (L 498, off 39) (L 625, off 4) (L 763, off 9) (L 843, off 16) (L 1276, off 34) (L 2046, off 20) (L 3604, off 9) (L 3814, off 9) (L 5088, off 31) (L 5094, off 59) (L 6144, off 34) (L 8874, off 11) 
 "running" 13 (L 263, off 19) (L 353, off 62) (L 395, off 38) (L 960, off 27) (L 2002, off 47) (L 3293, off 53) (L 3773, off 38) (L 4292, off 7) (L 5234, off 45) (L 5268, off 34) (L 5581, off 35) (L 6610, off 37) (L 8516, off 4) 
 "seems" 13 (L 769, off 4) (L 1160, off 17) (L 1946, off 43) (L 3818, off 8) (L 3819, off 35) (L 3835, off 0) (L 5434, off 16) (L 5994, off 36) (L 6682, off 20) (L 7033, off 12) (L 7215, off 20) (L 7384, off 46) (L 8611, off 44) 
 "shook" 13 (L 801, off 0) (L 924, off 13) (L 1003, off 27) (L 1333, off 37) (L 1985, off 26) (L 2131, off 7) (L 2711, off 48) (L 2834, off 20) (L 3239, off 19) (L 3667, off 29) (L 4271, off 6) (L 6864, off 17) (L 8174, off 43) 
 "shot" 13 (L 2663, off 50) (L 2947, off 60) (L 3143, off 13) (L 3449, off 43) (L 4809, off 10) (L 5537, off 67) (L 5541, off 13) (L 5608, off 58) (L 5657, off 5) (L 5928, off 53) (L 8449, off 64) (L 8468, off 13) (L 8560, off 11) 
 "shoulder" 13 (L 269, off 22) (L 339, off 33) (L 832, off 40) (L 883, off 61) (L 2212, off 13) (L 2743, off 51) (L 2850, off 0) (L 3093, off 0) (L 3972, off 36) (L 4214, off 27) (L 4277, off 10) (L 8441, off 48) (L 8714, off 0) 
 "shout" 13 (L 877, off 7) (L 884, off 54) (L 1409, off 28) (L 1763, off 21) (L 2534, off 49) (L 2534, off 61) (L 3086, off 2) (L 3623, off 65) (L 3707, off 64) (L 5215, off 23) (L 5297, off 64) (L 5603, off 13) (L 7350, off 7) 
 "shrill" 13 (L 690, off 2) (L 709, off 18) (L 799, off 50) (L 896, off 22) (L 1498, off 7) (L 3034, off 47) (L 4809, off 23) (L 5622, off 2) (L 5629, off 33) (L 5808, off 2) (L 8269, off 2) (L 8372, off 39) (L 8676, off 21) 
 "silence" 13 (L 3247, off 39) (L 3698, off 61) (L 5167, off 33) (L 5390, off 44) (L 5446, off 36) (L 5449, off 25) (L 5936, off 36) (L 6868, off 7) (L 6873, off 37) (L 7405, off 57) (L 7521, off 9) (L 8125, off 24) (L 8375, off 50) 
 "slowly" 13 (L 439, off 14) (L 3704, off 43) (L 3717, off 8) (L 3837, off 36) (L 5234, off 53) (L 5255, off 0) (L 5266, off 5) (L 6306, off 35) (L 6316, off 17) (L 6992, off 15) (L 7029, off 24) (L 7138, off 0) (L 7190, off 0) 
 "standing" 13 (L 1077, off 46) (L 1211, off 30) (L 1851, off 52) (L 2002, off 31) (L 2178, off 0) (L 3005, off 61) (L 5205, off 35) (L 6177, off 22) (L 7735, off 41) (L 7819, off 9) (L 8104, off 0) (L 8321, off 17) (L 8511, off 50) 
 "stopped" 13 (L 356, off 27) (L 433, off 12) (L 2815, off 31) (L 2898, off 0) (L 4719, off 41) (L 4867, off 20) (L 5233, off 16) (L 5299, off 22) (L 5590, off 54) (L 5815, off 0) (L 7482, off 3) (L 7960, off 23) (L 8858, off 54) 
 "storm" 13 (L 2738, off 21) (L 2783, off 9) (L 2851, off 13) (L 2965, off 37) (L 3098, off 4) (L 3698, off 7) (L 5752, off 57) (L 5778, off 43) (L 5824, off 10) (L 5895, off 45) (L 6031, off 36) (L 7836, off 44) (L 8395, off 15) 
 "telegram" 13 (L 1782, off 7) (L 4716, off 57) (L 4720, off 19) (L 4967, off 9) (L 4972, off 16) (L 5002, off 21) (L 5051, off 29) (L 5053, off 53) (L 5072, off 0) (L 5080, off 16) (L 5330, off 55) (L 6157, off 48) (L 6226, off 0) 
 "yours" 13 (L 738, off 63) (L 792, off 52) (L 835, off 0) (L 879, off 22) (L 1090, off 28) (L 1472, off 12) (L 1478, off 52) (L 1607, off 65) (L 2390, off 25) (L 3458, off 3) (L 5399, off 47) (L 6907, off 26) (L 7257, off 9) 
 "Boy" 14 (L 100, off 29) (L 121, off 31) (L 9404, off 20) (L 9405, off 25) (L 9409, off 16) (L 9415, off 16) (L 9417, off 17) (L 9420, off 25) (L 9424, off 45) (L 9506, off 20) (L 9542, off 18) (L 9553, off 23) (L 9563, off 11) (L 9564, off 9) 
 "Clipper" 14 (L 1628, off 26) (L 2725, off 23) (L 2830, off 49) (L 3107, off 44) (L 7627, off 35) (L 7654, off 37) (L 7672, off 48) (L 7711, off 8) (L 7833, off 4) (L 7877, off 4) (L 7955, off 16) (L 8036, off 48) (L 8116, off 37) (L 8372, off 59) 
 "Johnson" 14 (L 2482, off 2) (L 2895, off 25) (L 2897, off 62) (L 2917, off 58) (L 2921, off 36) (L 3077, off 20) (L 3099, off 5) (L 3099, off 34) (L 7649, off 2) (L 7963, off 17) (L 8239, off 21) (L 8303, off 0) (L 8308, off 9) (L 8311, off 0) 
 "Merrell" 14 (L 2486, off 2) (L 2814, off 55) (L 2819, off 23) (L 7652, off 2) (L 8008, off 23) (L 8171, off 31) (L 8250, off 43) (L 8256, off 61) (L 8277, off 24) (L 8513, off 4) (L 8515, off 0) (L 8516, off 49) (L 8526, off 33) (L 8562, off 0) 
 "New" 14 (L 100, off 25) (L 190, off 66) (L 240, off 24) (L 5839, off 0) (L 8936, off 0) (L 8958, off 57) (L 8968, off 9) (L 9328, off 66) (L 9413, off 11) (L 9417, off 8) (L 9421, off 16) (L 9424, off 26) (L 9433, off 66) (L 9588, off 18) 
 "anger" 14 (L 698, off 43) (L 764, off 25) (L 3086, off 11) (L 3461, off 54) (L 3709, off 0) (L 3726, off 42) (L 4204, off 0) (L 5604, off 66) (L 5799, off 36) (L 6660, off 18) (L 6982, off 0) (L 6990, off 22) (L 7036, off 24) (L 7070, off 26) 
 "below" 14 (L 190, off 13) (L 646, off 34) (L 916, off 38) (L 1013, off 37) (L 1073, off 15) (L 4499, off 32) (L 5358, off 0) (L 7082, off 28) (L 7694, off 20) (L 9328, off 13) (L 9433, off 13) (L 9669, off 14) (L 9672, off 36) (L 9801, off 60) 
 "books" 14 (L 190, off 0) (L 3757, off 0) (L 6976, off 0) (L 8930, off 10) (L 8943, off 4) (L 8959, off 8) (L 9328, off 0) (L 9373, off 44) (L 9377, off 56) (L 9381, off 52) (L 9386, off 38) (L 9389, off 44) (L 9433, off 0) (L 9575, off 65) 
 "case" 14 (L 641, off 43) (L 653, off 14) (L 1025, off 61) (L 1303, off 48) (L 3226, off 56) (L 3396, off 46) (L 3442, off 7) (L 3734, off 34) (L 3913, off 43) (L 4835, off 22) (L 5889, off 14) (L 7029, off 9) (L 7038, off 25) (L 7825, off 38) 
 "copy" 14 (L 5, off 21) (L 8958, off 38) (L 9581, off 24) (L 9622, off 33) (L 9658, off 46) (L 9705, off 25) (L 9712, off 35) (L 9741, off 14) (L 9754, off 23) (L 9754, off 52) (L 9755, off 15) (L 9789, off 45) (L 9836, off 59) (L 9840, off 11) 
 "corner" 14 (L 731, off 60) (L 990, off 60) (L 1072, off 17) (L 2188, off 54) (L 2767, off 28) (L 2916, off 0) (L 3303, off 4) (L 3326, off 29) (L 4050, off 26) (L 4854, off 29) (L 5573, off 43) (L 5661, off 58) (L 6219, off 20) (L 7240, off 9) 
 "days" 14 (L 270, off 54) (L 1103, off 30) (L 1357, off 50) (L 1677, off 50) (L 1890, off 26) (L 4382, off 57) (L 4396, off 48) (L 4522, off 4) (L 6249, off 67) (L 6919, off 29) (L 9773, off 12) (L 9781, off 42) (L 9790, off 62) (L 9831, off 41) 
 "else" 14 (L 525, off 59) (L 605, off 21) (L 610, off 41) (L 657, off 60) (L 696, off 16) (L 3523, off 8) (L 3870, off 0) (L 4619, off 57) (L 5452, off 37) (L 6195, off 28) (L 6729, off 66) (L 7046, off 39) (L 7116, off 11) (L 8216, off 45) 
 "fer" 14 (L 736, off 8) (L 774, off 68) (L 1352, off 26) (L 1540, off 8) (L 2758, off 7) (L 4183, off 10) (L 4343, off 51) (L 4396, off 38) (L 4452, off 20) (L 4466, off 30) (L 4521, off 66) (L 4653, off 3) (L 5307, off 68) (L 7539, off 8) 
 "given" 14 (L 1135, off 19) (L 2016, off 64) (L 3441, off 58) (L 3734, off 46) (L 4066, off 26) (L 5507, off 14) (L 5831, off 47) (L 6603, off 6) (L 6822, off 14) (L 7020, off 0) (L 7086, off 31) (L 7810, off 55) (L 8533, off 15) (L 9632, off 64) 
 "having" 14 (L 1143, off 9) (L 1226, off 27) (L 2488, off 52) (L 3230, off 34) (L 3291, off 57) (L 3429, off 10) (L 4737, off 23) (L 4959, off 14) (L 5527, off 16) (L 7370, off 28) (L 7400, off 0) (L 8505, off 14) (L 8771, off 0) (L 8797, off 32) 
