 "'----" 1 
 "'AS-IS'" 1 
 "'Come" 1 
 "'Do" 1 
 "'Don't" 1 
 "'He" 1 
 "'Here" 1 
 "'It" 1 
 "'My" 1 
 "'Sides" 1 
 "'Take" 1 
 "'There" 1 
 "'We've" 1 
 "'Why" 1 
 "'bout" 1 
 "'em" 1 
 "'just" 1 
 "'so" 1 
 "--These" 1 
 "--amounting" 1 
 "--caused" 1 (L 3447, off 34) 
 "plunder" 5 (L 1990, off 30) (L 2030, off 35) (L 2077, off 0) (L 3006, off 30) (L 3602, off 0) 
 "plunged" 5 (L 1235, off 30) (L 1476, off 63) (L 1919, off 60) (L 2252, off 7) (L 2568, off 20) 
 "position" 5 (L 585, off 61) (L 1465, off 48) (L 1642, off 25) (L 1707, off 52) (L 2556, off 24) 
 "positively" 5 (L 2694, off 43) (L 3117, off 19) (L 3189, off 38) (L 3541, off 59) (L 3751, off 17) 
 "posted" 5 (L 674, off 0) (L 3951, off 39) (L 3960, off 64) (L 3965, off 0) (L 3983, off 8) 
 "prepare" 5 (L 111, off 52) (L 434, off 0) (L 2890, off 3) (L 4004, off 50) (L 4005, off 22) 
 "president" 5 (L 1305, off 56) (L 1309, off 54) (L 1316, off 21) (L 1406, off 12) (L 1985, off 14) 
 "pressed" 5 (L 482, off 51) (L 1036, off 17) (L 2098, off 62) (L 2274, off 32) (L 2293, off 8) 
 "prevented" 5 (L 1472, off 44) (L 1585, off 0) (L 1610, off 43) (L 2518, off 23) (L 2909, off 62) 
 "printed" 5 (L 2405, off 6) (L 2405, off 42) (L 2407, off 13) (L 3863, off 52) (L 4187, off 59) 
 "quickly" 5 (L 1817, off 62) (L 2243, off 22) (L 3085, off 53) (L 3203, off 0) (L 3666, off 53) 
 "real" 5 (L 124, off 45) (L 1433, off 4) (L 1772, off 54) (L 2278, off 43) (L 3659, off 26) 
 "reason" 5 (L 284, off 50) (L 1084, off 48) (L 1456, off 23) (L 2220, off 48) (L 2984, off 48) 
 "receive" 5 (L 2413, off 29) (L 3148, off 44) (L 3859, off 61) (L 4063, off 0) (L 4070, off 15) 
 "receiving" 5 (L 2287, off 46) (L 2662, off 0) (L 3704, off 6) (L 3825, off 6) (L 4062, off 49) 
 "regard" 5 (L 108, off 55) (L 116, off 32) (L 124, off 59) (L 2059, off 0) (L 3320, off 37) 
 "region" 5 (L 2719, off 45) (L 2947, off 13) (L 3325, off 63) (L 3328, off 32) (L 3350, off 0) 
 "related" 5 (L 296, off 32) (L 1381, off 16) (L 2136, off 12) (L 2422, off 3) (L 3449, off 37) 
 "remarkable" 5 (L 573, off 46) (L 664, off 0) (L 778, off 11) (L 2299, off 56) (L 2819, off 29) 
 "removed" 5 (L 1001, off 35) (L 1742, off 44) (L 3164, off 49) (L 3913, off 40) (L 3932, off 21) 
 "reply" 5 (L 687, off 39) (L 1691, off 38) (L 1710, off 5) (L 2857, off 22) (L 3240, off 41) 
 "rewards" 5 (L 2185, off 0) (L 2612, off 20) (L 3446, off 10) (L 3781, off 16) (L 3783, off 15) 
 "roads" 5 (L 518, off 30) (L 1301, off 57) (L 2942, off 49) (L 3339, off 21) (L 3792, off 0) 
 "rob" 5 (L 1070, off 0) (L 1263, off 11) (L 2029, off 53) (L 2162, off 12) (L 3465, off 21) 
 "robber" 5 (L 1398, off 0) (L 2667, off 31) (L 3122, off 37) (L 3640, off 60) (L 3806, off 57) 
 "run" 5 (L 1612, off 19) (L 2392, off 27) (L 3082, off 0) (L 3340, off 25) (L 3640, off 3) 
 "safety" 5 (L 590, off 43) (L 1100, off 10) (L 1171, off 35) (L 2119, off 27) (L 2409, off 22) 
 "saved" 5 (L 357, off 8) (L 358, off 59) (L 559, off 39) (L 706, off 30) (L 2768, off 60) 
 "scarcely" 5 (L 453, off 33) (L 1206, off 17) (L 1558, off 6) (L 1667, off 5) (L 2809, off 36) 
 "scene" 5 (L 994, off 26) (L 1524, off 47) (L 1594, off 18) (L 2334, off 4) (L 2968, off 22) 
 "section" 5 (L 122, off 19) (L 440, off 18) (L 2555, off 12) (L 3011, off 23) (L 3017, off 34) 
 "seeing" 5 (L 1619, off 18) (L 1853, off 24) (L 1975, off 23) (L 2339, off 13) (L 3136, off 45) 
 "sentenced" 5 (L 1041, off 0) (L 2103, off 47) (L 2290, off 37) (L 3177, off 5) (L 3555, off 41) 
 "service" 5 (L 742, off 60) (L 772, off 0) (L 1863, off 31) (L 2414, off 4) (L 3323, off 56) 
 "shadows" 5 (L 1189, off 15) (L 1617, off 0) (L 1740, off 6) (L 1994, off 63) (L 2884, off 42) 
 "share" 5 (L 1562, off 65) (L 2366, off 47) (L 2906, off 50) (L 3533, off 43) (L 3920, off 4) 
 "sharp" 5 (L 1431, off 52) (L 1472, off 19) (L 1699, off 50) (L 1919, off 6) (L 3695, off 35) 
 "shoot" 5 (L 423, off 60) (L 919, off 46) (L 1553, off 4) (L 2591, off 35) (L 3430, off 5) 
 "something" 5 (L 1696, off 50) (L 2151, off 29) (L 3256, off 26) (L 3358, off 58) (L 3363, off 61) 
 "somewhat" 5 (L 949, off 14) (L 1032, off 37) (L 1110, off 4) (L 1869, off 20) (L 2620, off 16) 
 "sprang" 5 (L 1227, off 9) (L 1234, off 30) (L 1731, off 57) (L 2272, off 4) (L 2665, off 42) 
 "spread" 5 (L 1092, off 0) (L 1373, off 24) (L 2035, off 17) (L 2090, off 5) (L 4149, off 0) 
 "stated" 5 (L 880, off 14) (L 2511, off 56) (L 2591, off 10) (L 2594, off 34) (L 2769, off 9) 
 "strange" 5 (L 609, off 17) (L 2220, off 63) (L 2535, off 0) (L 2970, off 26) (L 3246, off 46) 
 "supposed" 5 (L 783, off 57) (L 1820, off 12) (L 3030, off 20) (L 3113, off 0) (L 3125, off 28) 
 "sure" 5 (L 3019, off 32) (L 3098, off 6) (L 3251, off 9) (L 3428, off 39) (L 3473, off 45) 
 "suspected" 5 (L 1183, off 25) (L 2042, off 36) (L 2365, off 4) (L 2675, off 59) (L 3432, off 0) 
 "suspicious" 5 (L 360, off 7) (L 1432, off 33) (L 1967, off 57) (L 2186, off 57) (L 3060, off 41) 
 "tell" 5 (L 1126, off 35) (L 2790, off 23) (L 3312, off 0) (L 3393, off 5) (L 3480, off 11) 
 "therefore" 5 (L 102, off 4) (L 490, off 10) (L 784, off 16) (L 795, off 31) (L 1129, off 38) 
 "thicket" 5 (L 620, off 20) (L 622, off 54) (L 682, off 0) (L 1466, off 0) (L 2428, off 44) 
 "threats" 5 (L 1077, off 12) (L 1548, off 15) (L 1609, off 41) (L 1631, off 19) (L 2239, off 60) 
 "tied" 5 (L 1735, off 63) (L 2145, off 62) (L 2428, off 24) (L 3672, off 0) (L 3683, off 16) 
 "tried" 5 (L 1313, off 45) (L 1743, off 17) (L 2825, off 40) (L 2865, off 56) (L 3084, off 65) 
 "twenty" 5 (L 606, off 0) (L 838, off 49) (L 1033, off 9) (L 1115, off 28) (L 3742, off 24) 
 "undertaking" 5 (L 473, off 43) (L 483, off 22) (L 1813, off 45) (L 2421, off 27) (L 2683, off 0) 
 "undoubtedly" 5 (L 1582, off 58) (L 1928, off 15) (L 2217, off 44) (L 3608, off 50) (L 3815, off 31) 
 "unfortunate" 5 (L 634, off 48) (L 1867, off 5) (L 3361, off 41) (L 3372, off 36) (L 3400, off 4) 
 "used" 5 (L 1375, off 35) (L 1696, off 13) (L 3859, off 15) (L 3896, off 0) (L 3982, off 49) 
 "usual" 5 (L 1429, off 0) (L 1794, off 9) (L 2930, off 16) (L 3289, off 15) (L 3508, off 30) 
 "vengeance" 5 (L 465, off 61) (L 535, off 24) (L 783, off 43) (L 957, off 33) (L 3577, off 10) 
 "victim" 5 (L 1557, off 45) (L 1738, off 33) (L 1751, off 6) (L 1860, off 28) (L 3397, off 28) 
 "voice" 5 (L 275, off 43) (L 422, off 58) (L 980, off 13) (L 2742, off 8) (L 3635, off 23) 
 "walked" 5 (L 1684, off 21) (L 3152, off 14) (L 3246, off 31) (L 3407, off 9) (L 3520, off 62) 
 "warfare" 5 (L 608, off 61) (L 655, off 55) (L 674, off 44) (L 796, off 26) (L 834, off 47) 
 "wood" 5 (L 894, off 52) (L 2141, off 37) (L 2172, off 25) (L 2720, off 37) (L 2722, off 50) 
 "Captain" 6 (L 394, off 38) (L 410, off 14) (L 422, off 25) (L 423, off 1) (L 425, off 14) (L 662, off 17) 
 "Centralia" 6 (L 143, off 6) (L 191, off 20) (L 745, off 58) (L 750, off 26) (L 768, off 5) (L 791, off 27) 
 "Hot" 6 (L 219, off 23) (L 1520, off 58) (L 1526, off 35) (L 1530, off 67) (L 1578, off 27) (L 1594, off 33) 
 "Information" 6 (L 2270, off 0) (L 4008, off 14) (L 4100, off 11) (L 4121, off 11) (L 4145, off 11) (L 4179, off 19) 
 "James'" 6 
 "January" 6 (L 832, off 3) (L 1522, off 50) (L 1604, off 19) (L 1796, off 63) (L 1816, off 20) (L 1854, off 49) 
 "Kerry" 6 (L 157, off 6) (L 2129, off 29) (L 2134, off 36) (L 2146, off 54) (L 2174, off 19) (L 2182, off 60) 
 "Liberty" 6 (L 1674, off 21) (L 1680, off 56) (L 1719, off 11) (L 1818, off 50) (L 1910, off 54) (L 1912, off 19) 
 "Outlaws" 6 (L 11, off 55) (L 3574, off 11) (L 3716, off 33) (L 3721, off 0) (L 3731, off 8) (L 3825, off 34) 
 "TRAIN" 6 (L 1445, off 26) (L 1591, off 4) (L 2001, off 10) (L 2112, off 14) (L 2307, off 28) (L 3568, off 4) 
 "Territory" 6 (L 1951, off 0) (L 2037, off 22) (L 2105, off 35) (L 2130, off 52) (L 2180, off 17) (L 3772, off 27) 
 "YOU" 6 (L 3871, off 24) (L 4053, off 6) (L 4053, off 21) (L 4055, off 29) (L 4057, off 10) (L 4058, off 27) 
 "accompanied" 6 (L 1020, off 48) (L 1405, off 13) (L 1864, off 17) (L 1971, off 16) (L 3235, off 23) (L 3823, off 17) 
 "across" 6 (L 1184, off 0) (L 2140, off 44) (L 2666, off 48) (L 2906, off 0) (L 3517, off 15) (L 3518, off 50) 
 "active" 6 (L 603, off 62) (L 708, off 0) (L 742, off 53) (L 3447, off 50) (L 3934, off 36) (L 3975, off 0) 
 "always" 6 (L 303, off 45) (L 1193, off 3) (L 2288, off 36) (L 2838, off 64) (L 3286, off 62) (L 3602, off 29) 
 "an'" 6 
 "anxious" 6 (L 776, off 49) (L 1068, off 9) (L 1671, off 0) (L 2119, off 60) (L 2499, off 64) (L 2892, off 16) 
 "anyone" 6 (L 3, off 29) (L 3320, off 20) (L 3941, off 31) (L 3952, off 61) (L 4089, off 58) (L 4183, off 19) 
 "approached" 6 (L 345, off 17) (L 682, off 38) (L 1829, off 32) (L 3402, off 32) (L 3512, off 56) (L 3520, off 42) 
 "association" 6 (L 1350, off 55) (L 1437, off 0) (L 2680, off 33) (L 2869, off 26) (L 2880, off 4) (L 2893, off 0) 
 "attempted" 6 (L 1045, off 46) (L 1228, off 0) (L 1612, off 6) (L 2345, off 62) (L 3417, off 0) (L 3651, off 27) 
 "available" 6 (L 28, off 37) (L 471, off 58) (L 671, off 60) (L 3845, off 37) (L 3877, off 29) (L 4111, off 14) 
 "bandit" 6 (L 868, off 19) (L 945, off 29) (L 1423, off 14) (L 2595, off 33) (L 2897, off 38) (L 3084, off 58) 
 "believe" 6 (L 1171, off 62) (L 2600, off 34) (L 2693, off 0) (L 3210, off 19) (L 3558, off 63) (L 3812, off 38) 
 "big" 6 (L 1345, off 47) (L 1782, off 43) (L 2107, off 8) (L 3234, off 63) (L 3245, off 43) (L 3470, off 68) 
 "border" 6 (L 446, off 14) (L 605, off 0) (L 1182, off 64) (L 1184, off 11) (L 1327, off 4) (L 1994, off 22) 
 "bravery" 6 (L 573, off 57) (L 1297, off 6) (L 1343, off 44) (L 1583, off 60) (L 2123, off 57) (L 2840, off 31) 
 "broke" 6 (L 438, off 36) (L 775, off 10) (L 1420, off 57) (L 1635, off 49) (L 2055, off 46) (L 2342, off 60) 
 "broken" 6 (L 545, off 0) (L 1123, off 4) (L 1485, off 26) (L 1747, off 44) (L 3166, off 4) (L 3172, off 26) 
 "brush" 6 (L 394, off 9) (L 1136, off 18) (L 1539, off 22) (L 1644, off 30) (L 1684, off 59) (L 3768, off 33) 
 "cause" 6 (L 1625, off 0) (L 3401, off 4) (L 3659, off 31) (L 3727, off 28) (L 4095, off 30) (L 4098, off 11) 
 "check" 6 (L 8, off 3) (L 1425, off 58) (L 1476, off 20) (L 3925, off 0) (L 3946, off 32) (L 4174, off 7) 
 "compliance" 6 (L 1413, off 60) (L 3430, off 55) (L 3916, off 9) (L 4161, off 51) (L 4162, off 37) (L 4190, off 27) 
 "concluded" 6 (L 710, off 44) (L 822, off 15) (L 1568, off 20) (L 1903, off 15) (L 2151, off 19) (L 2544, off 53) 
 "confined" 6 (L 374, off 0) (L 923, off 25) (L 1609, off 5) (L 1641, off 15) (L 1953, off 37) (L 2204, off 8) 
 "confusion" 6 (L 624, off 25) (L 666, off 26) (L 775, off 19) (L 1478, off 9) (L 1977, off 47) (L 3649, off 60) 
 "considerable" 6 (L 2692, off 0) (L 3278, off 52) (L 3443, off 44) (L 3557, off 17) (L 4036, off 57) (L 4159, off 0) 
 "conversation" 6 (L 1306, off 46) (L 1701, off 31) (L 1965, off 13) (L 3161, off 12) (L 3209, off 34) (L 3404, off 0) 
 "cost" 6 (L 4, off 31) (L 793, off 0) (L 911, off 7) (L 1671, off 46) (L 3942, off 38) (L 3984, off 48) 
 "crossed" 6 (L 501, off 56) (L 837, off 60) (L 1182, off 52) (L 1738, off 46) (L 3675, off 30) (L 3769, off 27) 
 "dashed" 6 (L 412, off 50) (L 1022, off 0) (L 1078, off 52) (L 1361, off 17) (L 2581, off 0) (L 3293, off 10) 
 "daughter" 6 (L 372, off 50) (L 1837, off 13) (L 1925, off 9) (L 2757, off 43) (L 2887, off 60) (L 2891, off 57) 
 "dense" 6 (L 620, off 14) (L 1037, off 64) (L 1465, off 62) (L 1525, off 40) (L 2720, off 31) (L 2725, off 11) 
 "desire" 6 (L 283, off 19) (L 497, off 12) (L 534, off 36) (L 1196, off 37) (L 1870, off 17) (L 3825, off 56) 
 "dismounted" 6 (L 1024, off 24) (L 1268, off 8) (L 1304, off 45) (L 2082, off 56) (L 2243, off 30) (L 3362, off 11) 
 "distance" 6 (L 351, off 26) (L 887, off 57) (L 1426, off 13) (L 2557, off 48) (L 3078, off 53) (L 3419, off 47) 
 "distribution" 6 (L 3874, off 0) (L 3961, off 58) (L 4025, off 2) (L 4092, off 26) (L 4095, off 50) (L 4102, off 49) 
 "does" 6 (L 288, off 0) (L 2848, off 7) (L 3427, off 22) (L 3560, off 67) (L 3950, off 56) (L 4013, off 2) 
 "dozen" 6 (L 1045, off 36) (L 1152, off 8) (L 1359, off 51) (L 1478, off 61) (L 2096, off 28) (L 2510, off 52) 
 "drawn" 6 (L 327, off 38) (L 1024, off 53) (L 1079, off 28) (L 1622, off 10) (L 3354, off 15) (L 3420, off 30) 
 "dreadful" 6 (L 546, off 44) (L 756, off 33) (L 777, off 0) (L 1841, off 0) (L 2391, off 49) (L 3198, off 10) 
 "eBook" 6 (L 3, off 5) (L 6, off 49) (L 3861, off 0) (L 3861, off 63) (L 3941, off 7) (L 3945, off 2) 
 "ear" 6 (L 1553, off 45) (L 1556, off 8) (L 2567, off 5) (L 2592, off 36) (L 3163, off 63) (L 3164, off 26) 
 "east" 6 (L 1376, off 50) (L 1455, off 65) (L 1490, off 10) (L 2138, off 15) (L 2333, off 12) (L 2337, off 31) 
 "eluded" 6 (L 1037, off 22) (L 1791, off 24) (L 2104, off 63) (L 2301, off 22) (L 3592, off 59) (L 3604, off 50) 
 "everything" 6 (L 1162, off 24) (L 1471, off 45) (L 2337, off 57) (L 2521, off 8) (L 2711, off 0) (L 3690, off 22) 
 "fate" 6 (L 761, off 38) (L 777, off 9) (L 1727, off 60) (L 1930, off 40) (L 2661, off 12) (L 3579, off 37) 
 "father" 6 (L 285, off 7) (L 287, off 6) (L 2620, off 0) (L 2846, off 61) (L 2914, off 35) (L 3182, off 36) 
 "felt" 6 (L 1051, off 48) (L 2409, off 3) (L 2769, off 37) (L 3063, off 4) (L 3207, off 11) (L 3221, off 27) 
 "file" 6 (L 27, off 47) (L 1981, off 34) (L 3255, off 2) (L 3839, off 11) (L 3844, off 47) (L 3877, off 49) 
 "forces" 6 (L 443, off 24) (L 474, off 47) (L 658, off 18) (L 724, off 22) (L 770, off 23) (L 808, off 32) 
 "forty" 6 (L 639, off 29) (L 866, off 19) (L 881, off 13) (L 2813, off 44) (L 3080, off 54) (L 4183, off 31) 
 "fresh" 6 (L 451, off 41) (L 1136, off 12) (L 1888, off 0) (L 2017, off 10) (L 2287, off 56) (L 3053, off 37) 
 "furious" 6 (L 643, off 46) (L 657, off 7) (L 663, off 23) (L 772, off 16) (L 1264, off 7) (L 2239, off 5) 
 "girls" 6 (L 1196, off 16) (L 1205, off 0) (L 2625, off 48) (L 2629, off 35) (L 2631, off 29) (L 2789, off 43) 
 "gone" 6 (L 936, off 4) (L 2478, off 59) (L 2627, off 24) (L 3014, off 54) (L 3306, off 66) (L 3419, off 17) 
 "greatly" 6 (L 343, off 0) (L 374, off 50) (L 540, off 51) (L 1389, off 36) (L 1547, off 41) (L 1862, off 45) 
 "guilty" 6 (L 913, off 0) (L 2289, off 63) (L 3176, off 9) (L 3457, off 30) (L 3458, off 34) (L 3553, off 5) 
 "half" 6 (L 987, off 0) (L 2542, off 6) (L 3471, off 49) (L 3492, off 57) (L 3528, off 32) (L 3674, off 24) 
 "heard" 6 (L 524, off 35) (L 2004, off 12) (L 2311, off 16) (L 2552, off 33) (L 2628, off 17) (L 3286, off 30) 
 "hitched" 6 (L 681, off 35) (L 920, off 51) (L 1225, off 55) (L 1466, off 48) (L 1643, off 59) (L 3158, off 25) 
 "human" 6 (L 327, off 17) (L 445, off 9) (L 744, off 26) (L 2121, off 58) (L 3379, off 9) (L 3614, off 0) 
 "instant" 6 (L 1207, off 29) (L 1216, off 5) (L 1609, off 52) (L 2249, off 22) (L 2564, off 22) (L 3292, off 13) 
 "jumped" 6 (L 1363, off 52) (L 3522, off 16) (L 3522, off 56) (L 3527, off 47) (L 3662, off 15) (L 3671, off 22) 
 "kind" 6 (L 308, off 53) (L 787, off 36) (L 1693, off 6) (L 2432, off 0) (L 3471, off 41) (L 3493, off 26) 
 "leading" 6 (L 1357, off 8) (L 1682, off 28) (L 1734, off 51) (L 1839, off 10) (L 2400, off 16) (L 3789, off 62) 
 "length" 6 (L 380, off 63) (L 455, off 9) (L 1201, off 20) (L 2101, off 32) (L 2745, off 43) (L 3333, off 15) 
 "mounting" 6 (L 992, off 0) (L 1643, off 25) (L 1737, off 13) (L 3337, off 41) (L 3656, off 59) (L 3674, off 4) 
 "named" 6 (L 1880, off 42) (L 1885, off 43) (L 2057, off 65) (L 3010, off 24) (L 3650, off 28) (L 3839, off 26) 
 "nine" 6 (L 2130, off 0) (L 2529, off 49) (L 2960, off 47) (L 2970, off 21) (L 2975, off 38) (L 3357, off 67) 
 "notified" 6 (L 997, off 36) (L 1431, off 19) (L 1497, off 41) (L 2095, off 32) (L 2512, off 35) (L 2631, off 35) 
 "obtain" 6 (L 2050, off 64) (L 3074, off 38) (L 3327, off 40) (L 3891, off 40) (L 3957, off 0) (L 4029, off 42) 
 "opened" 6 (L 1025, off 36) (L 1144, off 21) (L 1272, off 0) (L 1414, off 35) (L 3151, off 61) (L 3666, off 61) 
 "peculiar" 6 (L 470, off 45) (L 608, off 36) (L 2815, off 63) (L 2909, off 4) (L 3393, off 55) (L 3595, off 10) 
 "penitentiary" 6 (L 1041, off 17) (L 2104, off 20) (L 2291, off 54) (L 3146, off 18) (L 3196, off 47) (L 3555, off 58) 
 "perhaps" 6 (L 377, off 14) (L 1153, off 17) (L 1683, off 18) (L 1777, off 57) (L 1992, off 45) (L 3471, off 11) 
 "present" 6 (L 2330, off 59) (L 3180, off 23) (L 3331, off 12) (L 3370, off 49) (L 3415, off 27) (L 3747, off 13) 
 "proposed" 6 (L 455, off 37) (L 672, off 29) (L 1394, off 26) (L 1400, off 44) (L 2401, off 16) (L 2663, off 16) 
 "pursuers" 6 (L 1788, off 9) (L 1791, off 37) (L 2276, off 27) (L 2294, off 9) (L 2301, off 35) (L 3174, off 33) 
 "raid" 6 (L 1331, off 0) (L 2224, off 20) (L 2513, off 9) (L 2530, off 46) (L 2552, off 67) (L 2935, off 0) 
 "rapid" 6 (L 618, off 13) (L 1320, off 0) (L 1495, off 15) (L 1787, off 16) (L 1811, off 62) (L 2576, off 42) 
 "reckless" 6 (L 674, off 27) (L 794, off 36) (L 1016, off 0) (L 1361, off 54) (L 1391, off 5) (L 3583, off 33) 
 "recovered" 6 (L 949, off 23) (L 2289, off 18) (L 2833, off 54) (L 3031, off 49) (L 3166, off 36) (L 3175, off 57) 
 "reports" 6 (L 540, off 26) (L 2431, off 52) (L 2436, off 14) (L 2957, off 52) (L 3732, off 0) (L 3862, off 61) 
 "responded" 6 (L 1554, off 17) (L 1697, off 28) (L 2546, off 32) (L 3098, off 32) (L 3423, off 18) (L 3791, off 9) 
 "robbing" 6 (L 125, off 59) (L 1181, off 6) (L 1299, off 21) (L 1954, off 51) (L 2460, off 49) (L 3656, off 46) 
 "saddle" 6 (L 707, off 26) (L 906, off 4) (L 922, off 17) (L 1234, off 46) (L 1365, off 48) (L 2582, off 7) 
 "says" 6 (L 2514, off 4) (L 2569, off 59) (L 2582, off 56) (L 2598, off 25) (L 3205, off 13) (L 3212, off 48) 
 "schemes" 6 (L 672, off 21) (L 946, off 8) (L 1334, off 21) (L 1394, off 13) (L 1674, off 53) (L 1899, off 62) 
 "seat" 6 (L 2752, off 25) (L 3233, off 35) (L 3236, off 16) (L 3238, off 20) (L 3244, off 46) (L 3634, off 60) 
 "separated" 6 (L 759, off 41) (L 2070, off 39) (L 2174, off 30) (L 2281, off 21) (L 2396, off 18) (L 3039, off 49) 
 "short" 6 (L 399, off 25) (L 887, off 51) (L 1182, off 32) (L 2180, off 40) (L 2702, off 51) (L 3226, off 28) 
 "special" 6 (L 116, off 24) (L 882, off 25) (L 967, off 40) (L 2963, off 13) (L 3141, off 21) (L 3408, off 12) 
 "speedily" 6 (L 690, off 21) (L 1416, off 33) (L 1834, off 40) (L 1847, off 0) (L 2034, off 52) (L 3086, off 60) 
 "spot" 6 (L 1453, off 65) (L 1652, off 58) (L 1957, off 23) (L 2444, off 22) (L 2458, off 34) (L 2477, off 43) 
 "squad" 6 (L 409, off 49) (L 615, off 58) (L 632, off 29) (L 653, off 8) (L 840, off 63) (L 3025, off 8) 
 "stepped" 6 (L 850, off 32) (L 1138, off 56) (L 1624, off 30) (L 2755, off 50) (L 2905, off 60) (L 2986, off 0) 
 "stood" 6 (L 562, off 28) (L 1052, off 51) (L 1210, off 66) (L 1546, off 43) (L 2024, off 62) (L 3533, off 10) 
 "store" 6 (L 503, off 63) (L 1039, off 57) (L 2328, off 16) (L 3364, off 26) (L 3506, off 5) (L 3509, off 5) 
 "stroke" 6 (L 403, off 37) (L 569, off 60) (L 1521, off 37) (L 2118, off 58) (L 2218, off 0) (L 2662, off 20) 
 "suffered" 6 (L 440, off 26) (L 958, off 50) (L 1853, off 12) (L 1861, off 62) (L 2738, off 59) (L 3784, off 30) 
 "suffering" 6 (L 564, off 16) (L 905, off 33) (L 921, off 58) (L 2289, off 0) (L 3162, off 3) (L 3349, off 15) 
 "surprised" 6 (L 395, off 17) (L 642, off 33) (L 816, off 16) (L 898, off 23) (L 1156, off 42) (L 1995, off 12) 
 "talk" 6 (L 2486, off 13) (L 2646, off 10) (L 3160, off 50) (L 3179, off 66) (L 3201, off 4) (L 3453, off 34) 
 "tax" 6 (L 4005, off 45) (L 4125, off 33) (L 4126, off 49) (L 4128, off 23) (L 4153, off 57) (L 4171, off 26) 
 "things" 6 (L 1141, off 15) (L 3213, off 61) (L 3216, off 54) (L 3370, off 39) (L 3898, off 0) (L 3900, off 40) 
 "thirty" 6 (L 395, off 27) (L 550, off 35) (L 550, off 56) (L 606, off 11) (L 841, off 3) (L 1346, off 29) (L 1667, off 14) 
 "thrown" 6 (L 353, off 0) (L 624, off 0) (L 1017, off 56) (L 1832, off 52) (L 2159, off 63) (L 3668, off 39) 
 "thrust" 6 (L 448, off 59) (L 1211, off 30) (L 1314, off 36) (L 1541, off 15) (L 1730, off 21) (L 3637, off 33) 
 "times" 6 (L 272, off 47) (L 659, off 57) (L 2293, off 31) (L 2818, off 44) (L 3117, off 7) (L 3817, off 5) 
 "total" 6 (L 559, off 65) (L 591, off 39) (L 1493, off 4) (L 1572, off 4) (L 1638, off 24) (L 2028, off 65) 
 "travelers" 6 (L 755, off 26) (L 1547, off 27) (L 1552, off 11) (L 1569, off 30) (L 1578, off 9) (L 1981, off 0) 
 "unknown" 6 (L 963, off 28) (L 2502, off 55) (L 2557, off 23) (L 2572, off 43) (L 2574, off 43) (L 2668, off 7) 
 "victims" 6 (L 370, off 64) (L 447, off 57) (L 552, off 0) (L 613, off 22) (L 1527, off 9) (L 1574, off 44) 
 "western" 6 (L 1034, off 21) (L 1326, off 0) (L 1869, off 3) (L 1953, off 49) (L 2962, off 44) (L 3350, off 10) 
 "whistle" 6 (L 753, off 42) (L 1699, off 56) (L 2019, off 55) (L 2031, off 18) (L 2160, off 28) (L 3493, off 36) 
 "word" 6 (L 2053, off 36) (L 2519, off 42) (L 2566, off 0) (L 2589, off 25) (L 3015, off 23) (L 3980, off 4) 
 "wounds" 6 (L 869, off 45) (L 949, off 44) (L 1242, off 41) (L 1249, off 47) (L 1792, off 29) (L 2287, off 62) 
 "yard" 6 (L 894, off 64) (L 996, off 26) (L 1817, off 7) (L 2645, off 56) (L 2648, off 25) (L 2671, off 58) 
 "BANK" 7 (L 1011, off 22) (L 1062, off 0) (L 1255, off 19) (L 1292, off 8) (L 1386, off 30) (L 2067, off 15) (L 2200, off 32) 
 "Chicago" 7 (L 1455, off 7) (L 1505, off 60) (L 1666, off 40) (L 1718, off 44) (L 2326, off 41) (L 3442, off 19) (L 3618, off 26) 
 "Col" 7 (L 3134, off 38) (L 3179, off 39) (L 3198, off 48) (L 3224, off 0) (L 3322, off 23) (L 3326, off 24) (L 3342, off 27) 
 "FRANK" 7 (L 44, off 15) (L 60, off 10) (L 181, off 10) (L 265, off 10) (L 1240, off 15) (L 2900, off 15) (L 3268, off 23) 
 "From" 7 (L 1191, off 15) (L 1470, off 0) (L 3011, off 32) (L 3259, off 65) (L 3566, off 21) (L 3709, off 9) (L 3764, off 0) 
 "Hill" 7 (L 221, off 23) (L 505, off 56) (L 573, off 12) (L 618, off 0) (L 1598, off 43) (L 1612, off 39) (L 1651, off 40) 
 "Johnson" 7 (L 502, off 44) (L 505, off 8) (L 584, off 3) (L 769, off 27) (L 772, off 38) (L 893, off 33) (L 898, off 3) 
 "March" 7 (L 1020, off 22) (L 1673, off 60) (L 1681, off 12) (L 1875, off 45) (L 2699, off 54) (L 2932, off 30) (L 2938, off 17) 
 "Minnesota" 7 (L 239, off 18) (L 2207, off 44) (L 2213, off 26) (L 2231, off 42) (L 2291, off 44) (L 2935, off 10) (L 3135, off 61) 
 "October" 7 (L 16, off 14) (L 615, off 21) (L 2319, off 18) (L 2417, off 15) (L 3064, off 10) (L 3070, off 12) (L 3450, off 61) 
 "Pitts" 7 (L 2129, off 44) (L 2144, off 0) (L 2230, off 47) (L 2278, off 29) (L 2285, off 47) (L 2287, off 6) (L 2288, off 0) 
 "Rock" 7 (L 698, off 5) (L 1455, off 16) (L 1552, off 57) (L 1608, off 58) (L 1647, off 22) (L 3618, off 35) (L 3764, off 59) 
